text_a,text_b,label
"Lluesta Cottage, Lon Sarn Bach, Gwynedd, LL537EB","Gosling's, LâÂ¥n Gwydryn, Abersoch, , United Kingdom, Gwynedd, LL537EB",0
"Number 42, King Edward Ave Blackpool, North West, FY29TA","Number 42, 42, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",1
"The Black Bull Inn, 44 Main Street Sedbergh  Cumbria, Westmorland and Furness, North West, LA105BL","The Black Bull, 44, Main Street, Sedbergh, Westmorland and Furness, North West, LA105BL",1
"Ramada Encore Bournemouth, 22 Bath Road BournemouthDorset, Bournemouth, Christchurch and Poole, South West, BH12NS","Holiday Inn, 22, Bath Road, Bournemouth, , GB, Bournemouth, Christchurch and Poole, South West, BH12NS",0
"Rhodes Hotel, 195 Sussex Gardens London Hyde Park, Westminster, W22RJ","Aspen Apartments, 176, Sussex Gardens, London, , United Kingdom, Westminster, W23UA",0
"Strawberry Fields, 6 7 New Steine Brighton, Brighton and Hove, South East, BN21PB","The Charm Brighton Boutique Hotel, 20-21, New Steine, Brighton, , United Kingdom, Brighton and Hove, South East, BN21PD",0
"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","The Alpha, 9, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0
"K+K Hotel George Kensington, 1 15 Templeton Place Earl  London, Kensington and Chelsea, SW59NB","K+K Hotel George, 1-15, Templeton Place, London, , GB, Kensington and Chelsea, SW59NB",1
"East Close Hotel, Lyndhurst Road HintonChristchurchDorset, New Forest, South East, BH237EF","East Close Country House Hotel, Lyndhurst Road, New Forest, , United Kingdom, South East, BH237EF",1
"Blyth Hotel, Station Road  Southwold, East Suffolk, East of England, IP186AY","The Blyth Hotel, Station Road, Southwold, , United Kingdom, East Suffolk, East of England, IP186AY",1
"The Wheatsheaf, 16 Saint Thomas Square  Newport, Isle of Wight, South East, PO301SG","The Wheatsheaf Inn, 16, St Thomas' Square, Newport, Isle of Wight, , GB, South East, PO301SG",1
"The Georgian Hollies Hotel, 82/90 Albert Road Blackpool, North West, FY14PR","The Roselea Hotel, 67, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",0
"The Paramount, 16 Hotham Street Liverpool, North West, L35UF","The Lord Nelson Hotel, 15-17, Hotham Street, Liverpool, North West, L35PD",0
"Ashbank Hotel, Carradale CarradaleArgyll, Argyll and Bute, PA286RY","Ashbank Hotel, B879, Carradale, , GB, Argyll and Bute, PA286RY",1
"The Hamlet Hotel, Shakespeare Terrace Folkestone, Folkestone and Hythe, South East, CT202DX","The Clifton Hotel, Clifton Gardens, Folkestone, , GB, Folkestone and Hythe, South East, CT202EB",0
"The Clifton, 43-46 Marine Road West Morecambe, Lancaster, North West, LA31BZ","Clarendon Hotel, 74-76, Marine Road West, Morecambe, Lancaster, North West, LA44EP",0
"Caberfeidh B&B, 6 Millburn Road Inverness, Highland, IV23PS","Chieftan Hotel, Millburn Road, Inverness, , United Kingdom, Highland, IV23PS",1
"Haven Hotel, 6 8 Sussex Gardens London, Westminster, W21UL","Albro House, 155, Sussex Gardens, London",0
