orig_index,text,lat,long
5311,"Copthorne Hotel Merry Hill Dudley, The Waterfront, Level Street The WaterfrontBierley Hill Dudley, West Midlands, DY51UR",52.48499,-2.115558
37694,"Haven Hotel, 6 8 Sussex Gardens London, Westminster, W21UL",51.51358045,-0.172938001
33976,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ",53.81403,-3.04908
6076,"Brooklands Over 50's Only, 28/30 King Edward Avenue Blackpool, North West, FY29TA",53.83543,-3.05176
22073,"Townhouse Exeter, 54 St Davids Hill Exeter, South West, EX44DT",50.72664,-3.53888
5608,"Smart Hotel Guest house, 1A King Edward Avenue Blackpool, North West, FY29TD",53.83537,-3.05372
6300,"Jade Apartments, 10 Clifton Drive Lancashire, Blackpool, North West, FY41NX",53.787129,-3.056232
36667,"Sunrise Apartments, 35 Abbey Road Llandudno, Conwy, LL302EH",53.32349,-3.8385
46861,"Little Haven Hotel, River Drive Littlehaven Tyne & Wear LittlehavenSouth Shields Tyne & Wear, South Tyneside, North East, NE331LH",55.006667,-1.426752
43731,"Stanwell House Hotel, High Street LymingtonHampshire, New Forest, South East, SO419AA",50.75876,-1.53925
17108,"Carlisle Station Hotel, Sure Hotel Collection by BW, Court Square Carlisle Cumbria, Cumberland, North West, CA11QY",54.891533,-2.932969
60525,"Novotel London Stansted, Round Coppice Road . London Stansted Airport Stansted, Uttlesford, East of England, CM241SF",51.87629,0.212439
5541,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA",53.81507,-3.051633
18326,"The Priest House On The River, Kings Mills Castle Donington Castle Donington Derbyshire, North West Leicestershire, East Midlands, DE742RR",52.84311,-1.38184
256,"Town Apartments Aberdeen, 66 Great Northern Road, Aberdeen City, AB243PT",57.16389,-2.1156
16977,"Hilton House, New Road WindermereCumbria, Westmorland and Furness, North West, LA232EE",54.374531,-2.908985
33658,"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW",53.81595,-3.0485
60055,"The Swan Hotel, 46-46a Greengate Street StaffordStaffordshire, West Midlands, ST162JA",52.805939,-2.116733
33449,"The Georgian Hollies Hotel, 82/90 Albert Road Blackpool, North West, FY14PR",53.81581,-3.04978
6276,"Crossways Hotel, 64 Tyldesley Road Blackpool, North West, FY15DF",53.807,-3.05394
5168,"Eaton Hotel, 279 Hagley Road Edgbaston Birmingham, West Midlands, B169NB",52.47171,-1.946937
38838,"Falcon Hotel, 11 Norfolk Square London, Westminster, W21RU",51.51554,-0.17351
23674,"Premier Inn Glasgow City Centre Buchanan Galleries, St Andrew House 141 Nile Street 141 West Nile StreetGlasgow, Glasgow City, G12RN",55.86451,-4.2542
58124,"Holiday Inn Taunton, Deane Gate Avenue Taunton, Somerset, South West, TA12UA",51.018709,-3.066381
60104,"Travelodge Newcastle Under Lyme Central, Lower Street Newcastle Under LymeStaffordshire, Newcastle-under-Lyme, West Midlands, ST52RS",53.011566,-2.230789
37796,"Queens Park Hotel, 48 Queensborough Terrace London, Westminster, W23SJ",51.51166,-0.185262
36693,"Lansdowne House, Abbey Road 13 Llandudno, Conwy, LL302EE",53.32454,-3.83652
10333,"University Arms Autograph Collection, Regent Street Cambridge, East of England, CB21AD",52.202,0.12503
17209,"Lyzzick Hall Hotel, Underskiddaw KeswickCumbria, Cumberland, North West, CA124PY",54.62621,-3.16528
21084,"Macdonald Marine Hotel & Spa, 18 Cromwell Road North BerwickEast Lothian, EH394LZ",56.059354,-2.738234
39200,"The Greenwood Hotel Wetherspoon, 674 Whitton Avenue West NortholtLondon, Ealing, UB54LA",51.55295,-0.35137
6319,"Richley Hotel, 59 Hornby Road, Blackpool, North West, FY14QJ",53.81396,-3.04886
51568,"Scotlands Hotel & Leisure Club, 40 Bonnethill Road PitlochryPerthshire, Perth and Kinross, PH165BT",56.703334,-3.732123
23666,"Radisson Blu Glasgow, 301 Argyle Street Glasgow, Glasgow City, G28DL",55.858673,-4.260429
36590,"Karden House, 16 Charlton Street Llandudno ConwyNorth Wales, LL302AB",53.321883,-3.826654
33974,"Heather Lea, 34 Empress Drive Blackpool, North West, FY29SD",53.83623,-3.05104
33310,"Oban House, 63 Holmfield Road Blackpool, North West, FY29RU",53.83673,-3.05215
29598,"Tuckers Inn, 11 Saltburn Road InvergordonRoss-Shire, Highland, IV180HH",57.689789,-4.15853
57991,"Strawberry Bank Hotel, Main Rd Meriden MeridenCoventryWest Midlands, Solihull, CV77NF",52.43612,-1.64654
21219,"Crowne Plaza Edinburgh Royal Terrace, 18-22 Royal Terrace Edinburgh, City of Edinburgh, EH75AQ",55.956893,-3.178458
37837,"Hilton London Metropole, 225 Edgware Road  London, Westminster, W21JU",51.51933835,-0.169914864
16123,"10 Seaquestmount Wise, Cornwall, South West, TR72BT",50.4107,-5.0861
53094,"Albion House At Ramsgate, Albion House Albion Place  Ramsgate, Thanet, South East, CT118HQ",51.33277,1.42324
8271,"The Beach Hotel, 1-4 Regency Square BrightonEast Sussex, Brighton and Hove, South East, BN12FG",50.822152,-0.151012
51582,"Moulin Hotel, 11 13 Kirkmichael Road Pitlochry, Perth and Kinross, PH165EW",56.713068,-3.726418
36550,"Seaclyffe Hotel, 11 Church Walks Llandudno Conwy, LL302HG",53.3271186,-3.83417477
7005,"The Chocolate Boutique Hotel, 5 Durley Road BournemouthDorset, Bournemouth, Christchurch and Poole, South West, BH25JQ",50.71815,-1.88788
8280,"Topps Hotel, 17 Regency Square Brighton & HoveEast Sussex, Brighton and Hove, South East, BN12FG",50.82272,-0.15086
43454,"Premier Inn Lowestoft, 249 Yarmouth Road LowestoftSuffolk, East Suffolk, East of England, NR324AA",52.49984,1.7331533
37369,"Arbor Hyde Park, 36 37 Lancaster Gate Bayswater London, Westminster, W23NA",51.512484,-0.180246
27440,"Courtyard by Marriott London Heathrow Airport, 1 Nobel Drive, Harlington, Hayes, , United Kingdom, Hillingdon, London, UB35EY",51.481128,-0.432738
10252,"Greenbank Guest House, 143 main street Callander, Stirling, FK178BH",56.24255,-4.20981
11809,"Hanover House, 65 St Georges Road Cheltenham, South West, GL503DU",51.8994254,-2.0825072
5869,"Springfield Hotel, 35 Charnley Road  Blackpool, North West, FY14PE",53.815584,-3.047429
21591,"Best Western Rose & Crown Hotel, East Street ColchesterEssex, East of England, CO12TZ",51.890938,0.917781
34037,"Ardern Hotel, 99 Coronation Street Blackpool, North West, FY14QE",53.81392,-3.05058
21603,"Premier Inn Basildon, Rayleigh Weir Arterial Road Rayleigh WeirBasildon Essex, Rochford, East of England, SS67SP",51.5774029,0.6000531
36763,"Miramar, 158 Station Road LlanelliDyfed, Carmarthenshire, SA151YU",51.674,-4.15996
21158,"Novotel Edinburgh Centre, 80 Lauriston Place EdinburghScotland, City of Edinburgh, EH39DE",55.944852,-3.199548
47803,"The Globe Inn, 9 High Street ChagfordNewton AbbotDevon, West Devon, South West, TQ138AJ",50.67234,-3.83951
38347,"Sheriff Hotel, 115 Warwick Way Victoria London, Westminster, SW1V4HT",51.490753,-0.144957
44322,"Cotford Hotel, 51 Graham Rd MalvernWorcestershire, Malvern Hills, West Midlands, WR142HU",52.1153,-2.32742
37656,"Crowne Plaza London Kings Cross, 1 Kings Cross Road London, Camden, WC1X9HX",51.526637,-0.113858
6146,"The Darfield Hotel, 54 Charnley Road Blackpool, North West, FY14PF",53.81535,-3.04847
28857,"Best Western Princes Marine Hotel, 153 Kingsway HoveEast Sussex, Brighton and Hove, South East, BN34GR",50.825825,-0.181974
5852,"Craig y Don, 211-213 Central Promenade Blackpool, North West, FY15DL",53.808175,-3.05518
33959,"The Stafford B&B, 97 Albert Road Blackpool, North West, FY14PW",53.81599,-3.04888
23057,"Stay 2a, 2a Bouverie Road West FolkestoneKent, Folkestone and Hythe, South East, CT202RX",51.07903,1.17477
37703,"Norfolk Plaza Hotel, 29-33 Norfolk Square Paddingto London, NW21RX",51.515935,-0.172997
17442,"Augill Castle, Leacett Lane Kirkby StephenCumbria, Westmorland and Furness, North West, CA174DE",54.51951,-2.301392
6067,"Albert Hotel, 117 Albert Road Blackpool, North West, FY14PW",53.816073,-3.048376
812,"The Brudenell Hotel, The Parade AldeburghSuffolk, East Suffolk, East of England, IP155BU",52.14794,1.60118
6026,"The Cowley Hotel, 241 Promenade BlackpoolLancashire, North West, FY16AH",53.80639,-3.05513
30035,"Travelodge Ipswich Beacon Hill, A14 A140 Beacon Hill Beacon HillNeedham Market, Mid Suffolk, East of England, IP68LP",52.1475296,1.079898
48505,"The Britannia Nottingham Hotel, St James Street Nottingham, East Midlands, NG16BN",52.95225,-1.15392
17106,"Farlam Hall Country House Hotel, Hallbankgate Cumbria, Cumberland, North West, CA82NG",54.93384,-2.67263
5896,"New Promenade Hotel, 229 Central Promenade Blackpool, North West, FY15DL",53.807344,-3.055133
29510,"Inchture, Main Street InchturePerthshire, Perth and Kinross, PH149RN",56.44484,-3.17121
33435,"The Baron Hotel, 296 North Promenade Blackpool, North West, FY12EY",53.8260409,-3.0547994
24783,"Imperial Hotel, 13-15 North Drive Great Yarmouth, East of England, NR301EQ",52.612981,1.737807
6201,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA",53.83533,-3.05128
43900,"Bedford Hotel, 307-313 Clifton Drive South  Lytham St Annes, Fylde, North West, FY81HN",53.74902,-3.02972
1954,"Cairndow Stagecoach Inn, Cairndow, Argyll and Bute, PA268BN",56.2559665,-4.9375024
45079,"The Waverley Hotel Maryport, 57 Curzon Street Maryport, Cumberland, North West, CA156LW",54.71282,-3.49611
58905,"Doubletree by Hilton Southampton, Bracken Place Chilworth ChilworthSouthampton, Test Valley, South East, SO163RB",50.95411,-1.402069
38342,"Kings Cross Inn Hotel, 9-11 Euston Road London, Camden, NW12SA",51.5305,-0.12293
24771,"Marine Lodge, 19-20 Euston Road Great YarmouthNorfolk, East of England, NR301EB",52.60999,1.73656
35837,"The Z Hotel Liverpool, 2 North John Street Liverpool, North West, L24SA",53.40731,-2.98962
37934,"The Grapevine Hotel, 117 Warwick Way London, Westminster, SW1V4HT",51.490724,-0.145087
6188,"The Satter International, 78 Central Drive Blackpool, North West, FY15QD",53.81282,-3.0508
8329,"Old Regency Bakery, 50 Regency Square Brighton, Brighton and Hove, South East, BN12FJ",50.822971,-0.149306
34494,"The Talbot Inn, 14 New Street LedburyHerefordshire, Herefordshire, County of, West Midlands, HR82DX",52.035662,-2.423311
45478,"The Baltimore Hotel, 250 Marton Rd Middlesbrough, North East, TS42EZ",54.566874,-1.223323
35959,"Posh Pads Liverpool One, The Casartelli Building 18 Hanover Street Liverpool, North West, L14AA",53.402824,-2.985316
18313,"Holiday Inn Derby Riverlights, Morledge Derby, East Midlands, DE12AY",52.92258,-1.47431
27980,"Baker Arms, 9 Ashendene Road BayfordHertford, East Hertfordshire, East of England, SG138PX",51.75924,-0.10253
5986,"The Bramleigh Hotel, 13/15 Gynn Avenue Blackpool, North West, FY12LD",53.83163,-3.05445
23686,"Novotel Glasgow Centre, 181 Pitt Street Glasgow, Glasgow City, G24DT",55.86433,-4.26521
8270,"The Square Hotel, 4 New Steine Brighton, Brighton and Hove, South East, BN21PB",50.81979,-0.131919
6097,"Ruskin Hotel, 55-61 Albert Road Blackpool, North West, FY14PW",53.81551,-3.05003
33491,"Bradleys Hotel, 80 Albert Road Blackpool, North West, FY14PR",53.81573,-3.05019
1067,"Half Moon Hotel And Restaurant, 25 28 West Street AlfordLincolnshire, East Lindsey, East Midlands, LN139DG",53.26112,0.17814
6802,"Travelodge Borehamwood Hotel, Elstree Way Borehamwood BorehamwoodLondon, Hertsmere, East of England, WD61SD",51.65882972,-0.25351738
33920,"Montgomery Hotel, 14 Hornby Road Blackpool, North West, FY14QG",53.813872,-3.051169
46867,"Osborne Hotel, 13 15 Osborne Road Jesmond JesmondNewcastle Upon Tyne, North East, NE22AE",54.988335,-1.605759
64985,"Timbertop Aparthotel, 8 Victoria Park Weston-super-Mare, North Somerset, South West, BS232HZ",51.35378,-2.98259
34061,"Baxter Holiday Apartments, 37 Charnley Road, Blackpool, North West, FY14PE",53.81551,-3.04743
48554,"Station Hotel, Station Terrace HucknallNottingham, Ashfield, East Midlands, NG157TQ",53.038593,-1.198123
31725,"The Edwardene, 26 Southey Street Keswick Cumbria, Cumberland, North West, CA124EF",54.59977,-3.13394
30378,"Melbourne Ardenlea Hotel, 4 6 Queens Road Shanklin Isle of Wight, South East, PO376AN",50.62844,-1.17468
21388,"The Little Downham Anchor, 25 Main Street Little DownhamEly Cambridgeshire, East Cambridgeshire, East of England, CB62ST",52.43306,0.24156
30453,"Pink Beach Guest House, 20 Esplanade Shanklin, Isle of Wight, South East, PO376BN",50.62905,-1.172587
20490,"Gadds Town House, 34 Old Elvet Durham, County Durham, North East, DH13HN",54.77505,-1.56854
12101,"Warrington Fir Grove Hotel, Sure Hotel Collection by BW, Knutsford Old Road Grappenhall Warrington, North West, WA42LD",53.377956,-2.555762
37761,"Rose And Crown Hotel, 55 High Street WimbledonVillageLondon, Merton, SW195BA",51.42569,-0.22035
5760,"The Calypso Hotel, 39-43 Albert Road Blackpool, North West, FY14TA",53.815072,-3.052016
33856,"The Malibu Party Hotel, 114-116 Albert Road Blackpool, nan",53.81619,-3.04848
18319,"Derby Mickleover Hotel, BW Signature Collection, Etwall Road Mickleover MickleoverDerby, South Derbyshire, East Midlands, DE30XX",52.901768,-1.550822
33143,"New Derina Hotel, 25 Hornby Road Blackpool, North West, FY14QG",53.81366,-3.0509
37751,"Seymour Hotel, 106 Sussex Gardens Hyde ParkLondon, Westminster, W21UH",51.51632,-0.171096
56922,"Balmoral, 28 South Parade SkegnessLincolnshire, East Lindsey, East Midlands, PE253HW",53.14052,0.3437
33382,"The Calypso Hotel, 39-43 Albert Road Blackpool, North West, FY14TA",53.815072,-3.052016
5876,"The Crosby Hotel, 59 Clifton Drive Blackpool, North West, FY41NT",53.78587,-3.0559
38950,"The Ned, 27 Poultry London, City of London, EC2R8AJ",51.51387,-0.08976
48707,"The Lake Isle Hotel & Restaurant, 16 High Street East Uppingham UppinghamRutland, East Midlands, LE159PZ",52.58807,-0.72132
37593,"Days Inn Hyde Park, 148-152 Sussex Gardens London, Westminster, W21UD",51.51537,-0.172972
35919,"62 Castle Street Liverpool, North West, L27LQ",53.405513,-2.990464
21769,"The Royal Hotel Clacton On Sea, 1 Marine Parade East Clacton-on-Sea, Tendring, East of England, CO151PU",51.78767,1.15434
38191,"Park Hotel, 327 Cranbrook Road Ilford IlfordEssex, Redbridge, London, IG14UE",51.567836,0.06531
5764,"Clifton Court Hotel, 12 Clifton Drive Blackpool, FY41XN",53.786831,-3.056242
35853,"Base Serviced Apartments The Spectrum, 74 Duke Street Liverpool, North West, L15AJ",53.40166323,-2.98180908
8207,"Mercure Brighton Seafront Hotel, 149 Kings Road  BrightonEast Sussex, Brighton and Hove, South East, BN12PP",50.8225,-0.1555
6223,"The Stafford B&B, 97 Albert Road Blackpool, North West, FY14PW",53.81599,-3.04888
33805,"New Odyssey Hotel, 4 6 Burlington Road Blackpool, North West, FY41NL",53.786923,-3.05762
65847,"Aald Northville, 23 South Parade Whitley BayTyne and Wear, North Tyneside, North East, NE262RE",55.04298,-1.44295
65851,"The Windsor Hotel, South Parade Whitley BayTyne and Wear, North Tyneside, North East, NE262RF",55.043664,-1.442401
35515,"Bail House, Bailgate Lincoln, East Midlands, LN13AP",53.23632,-0.53863
48488,"Crowne Plaza Nottingham, Wollaton Street Nottingham, East Midlands, NG15RH",52.955179,-1.153453
33380,"Bramlea Hotel, 36 Charnley Road Blackpool Lancashire, North West, FY14PF",53.815314,-3.049003
6192,"Norwood Hotel, 50-52 Reads Avenue Blackpool, North West, FY14DE",53.81354,-3.04691
22616,"The Bay, Burntisland Road Kinghorn  Burntisland Kinghorn Fife, KY39YE",56.06484191,-3.186821724
1112,"Derwent Manor Hotel, BW Premier Collection, Allensford Northumberland Northumberland, North East, DH89BB",54.85234,-1.884423
6155,"The Cornhill Hotel, 377-379 Promenade Blackpool Lancashire, North West, FY16BH",53.80067,-3.05512
38303,"The Jade, 52 Hogarth Road KensingtonLondon, Kensington and Chelsea, SW50PU",51.493762,-0.191615
37384,"Huttons Hotel, 53 To 57 Belgrave Rd Victoria  London, Westminster, SW1V2BB",51.490507,-0.138433
10338,"A & B Guest House, 124 Tenison Road CambridgeCambridgeshire, East of England, CB12DP",52.196945,0.135111
23923,"The Sheep On Sheep Street Hotel, Sheep Street Stow-on-the-Wold, Cotswold, South West, GL541AU",51.92894,-1.72102
27011,"The Marine Hotel, The Front Seaton CarewHartlepool, North East, TS251BS",54.66066,-1.18763
66466,"The Crown And Cushion, 84 Hight Street Eton EtonBerkshire, Windsor and Maidenhead, South East, SL46AF",51.486776,-0.608916
7062,"Croydon, 54 Saint Michaels Road Bournemouth, Bournemouth, Christchurch and Poole, South West, BH25DY",50.71825356,-1.884479821
36609,"The Llandudno hotel, 10 Church Walks Llandudno Conwy, LL302HG",53.32715,-3.83405
37893,"The Prince Akatoki London, 50 Great Cumberland Place Marble Arch London, Westminster, W1H7FD",51.516005,-0.160204
5332,"Premier Inn Solihull South (M42), Stratford Road ShirleySolihull, West Midlands, B904EP",52.38607756,-1.799697876
56892,"Greystones, 10 South Parade Lincs SkegnessLincolnshire, East Lindsey, East Midlands, PE253HW",53.14001,0.343672
51982,"The Lorna Doone Hotel, High Street Porlock, Somerset, South West, TA248PS",51.209285,-3.595028
33535,"Fairhaven Hotel, 7-9 Charnley Road Blackpool, North West, FY14PE",53.81465,-3.05
29955,"Ashley House, 30 Greig Street, Highland, IV35PX",57.47786,-4.23236
37526,"Royal Guest House by Saba, 105 Shepherds Bush Road London, Hammersmith and Fulham, W67LP",51.49797,-0.222425
44441,"Manchester Piccadilly Hotel, London Road, Manchester, North West, M12PG",53.475266,-2.229965
5882,"Stuart Hotel, 27-29 Clifton Drive Blackpool, North West, FY41NT",53.78577,-3.05588
12806,"Lifehouse Spa & Hotel, Frinton Road  Thorpe Le Soken Thorpe-le-Soken Thorpe-le-SokenEssex, Tendring, East of England, CO160JD",51.851778,1.167077
32374,"Kings Lynn Knights Hill Hotel & Spa, BW Signature Collection, South Wootton King, King's Lynn and West Norfolk, East of England, PE303HQ",52.77828,0.468925
38007,"Travelodge London Central Southwark, 202 206 Union Street Southwark SouthwarkGreater London, SE10LH",51.50366,-0.10223
6145,"Queens Plaza Hotel, 256-258 Queens Promenade  Blackpool, North West, FY29HB",53.85133,-3.05201
37260,"Rhodes Hotel, 195 Sussex Gardens London Hyde Park, Westminster, W22RJ",51.51379,-0.17458
60170,"The Bank House Hotel, Church Street UttoxeterStaffordshire, East Staffordshire, West Midlands, ST148AG",52.898956,-1.862803
5274,"Ely House Hotel, 53 Tettenhall Road WolverhamptonWest Midlands, WV39NB",52.586665,-2.142973
8250,"Brighton House, 52 Regency Square Brighton, Brighton and Hove, South East, BN12FF",50.822956,-0.149847
46397,"Polurrian Bay Hotel, Polurrian Road Mullion Mullion Cornwall, South West, TR127EN",50.021922,-5.253691
21855,"City Stay Apartment, Flat 11 16 Chichester Road, Southend-on-Sea, East of England, SS12FQ",51.53979,0.71392
33786,"The Belvedere, 91-93 Albert Road  Blackpool, North West, FY14PW",53.81587,-3.04916
