orig_index,text
37694,"Haven Hotel, 6 8 Sussex Gardens London, Westminster, W21UL"
37837,"Hilton London Metropole, 225 Edgware Road  London, Westminster, W21JU"
36550,"Seaclyffe Hotel, 11 Church Walks Llandudno Conwy, LL302HG"
1954,"Cairndow Stagecoach Inn, Cairndow, Argyll and Bute, PA268BN"
18313,"Holiday Inn Derby Riverlights, Morledge Derby, East Midlands, DE12AY"
22616,"The Bay, Burntisland Road Kinghorn  Burntisland Kinghorn Fife, KY39YE"
5199,"Travelodge Birmingham Central Moor Street, Carrs Lane Birmingham, West Midlands, B47SS"
23775,"Craigag Lodge, Glenfinnan, Highland, PH374LT"
32662,"Osprey Hotel, Ruthven Road Kingussie, Highland, PH211EN"
37766,"St Martins Lane, 45 St Martin's Lane London, Westminster, WC2N4HX"
37141,"Pullman London St Pancras, 100-110 Euston Road London, Camden, NW12AJ"
9656,"The Bay, Burntisland Road Kinghorn  Burntisland Kinghorn Fife, KY39YE"
24852,"Premier Inn Great Yarmouth West (A47), North River Road, Runham Vauxhall Great Yarmouth, East of England, NR301SH"
26648,"Hampton by Hilton Hamilton Park, Bothwell Road, South Lanarkshire, ML30DW"
533,"The Wylfa, Lon Sarn Bach Abersoch, Gwynedd, LL537DY"
11373,"Carradale Hotel, Argyll Argyll, Argyll and Bute, PA286RY"
51557,"Tigh Na Cloich Hotel, Larchwood Road Pitlochry, Perth and Kinross, PH165AS"
37317,"So Paddington Hotel, 6-8 Norfolk Square London, Westminster, W21RS"
32684,"Tailrace Inn, Riverside Road Kinlochleven Scotland, Highland, PH504QH"
37697,"Millennium Gloucester Hotel London Kensington, 4-18 Harrington Gardens  London, Kensington and Chelsea, SW74LH"
1081,"The Derbyshire Hotel, Carter Lane East South Normanton South Normanton, Bolsover, East Midlands, DE552EH"
46380,"Ord Arms Hotel, Great North Road Muir of Ord, Highland, IV67XR"
10665,"Carradale Hotel, Argyll Argyll, Argyll and Bute, PA286RY"
19079,"National Hotel, High Street Dingwall, Highland, IV159HA"
37556,"London City Suites, 42-46 Chiswell Street  London, Islington, EC1Y4SB"
4184,"Copthorne Hotel Merry Hill Dudley, Level Street, Dudley, West Midlands, DY51UR"
2900,"Bryn Derwen Guest House, 34, Abbey Road, Llandudno, , GB, Conwy, LL302EE"
5414,"The Little Haven, River Drive, South Shields, South Tyneside, North East, NE331LH"
10167,"Aberdeen Northern Hotel, 1-3, Great Northern Road, Aberdeen, Aberdeen City, AB243PS"
4542,"The Eaton Hotel, 279, Hagley Road, Birmingham, , GB, West Midlands, B169NB"
9604,"Byron Hotel, 36-38, Queensborough Terrace"
2899,"Epperstone Hotel, 15, Abbey Road, Llandudno, , GB, Conwy, LL302EE"
9738,"The Greenwood Hotel, 674, Whitton Avenue West, Northolt, , GB, Ealing, London, UB54LA"
2887,"Karden House, 16, Charlton Street, Llandudno, , GB, Conwy, LL302AA"
7897,"Tuckers Inn, 11, Saltburn Road, Invergordon, Highland, IV180HH"
5818,"Strawberry Bank Hotel & Restaurant, Main Road, Meriden, Solihull, West Midlands, CV77NF"
5618,"London Kings Hotel, 254, Edgware Road, London, , GB, Westminster, W21DS"
4887,"Moulin Hotel, Kirkmichael Road, Moulin, Perth and Kinross, PH165EW"
9662,"The Llandudno Hotel, 10, Church Walks, Llandudno, , GB, Conwy, LL302HG"
4675,"Signature Townhouse Hyde Park, 36, Lancaster Gate"
4658,"Courtyard by Marriott London Heathrow Airport, 1, Nobel Drive, Hayes, , GB, Hillingdon, UB35EY"
1187,"The Crags Hotel, 101, Main Street, Callander, , GB, Stirling, FK178BQ"
8865,"Best Western The Rose & Crown, East Street, Colchester, East of England, CO12TZ"
5430,"Hotel Miramar, 158, Station Road, Carmarthenshire, SA151YU"
749,"Novotel, 80, Lauriston Place, Edinburgh, , GB, City of Edinburgh, EH39DG"
8830,"Sheriff Hotel, 115, Warwick Way, London, , GB, Westminster, SW1V4HT"
4789,"Travelodge, 10-42, King's Cross Road, London, Islington, WC1X9QE"
5959,"Raynscourt Lodge, 16, Euston Road, Great Yarmouth"
8831,"The Grapevine Hotel, 117, Warwick Way, London"
842,"Novotel, 181, Pitt Street, Glasgow, , GB, Glasgow City, G24DT"
7613,"Osborne Hotel, 13-15, Osborne Road, Newcastle upon Tyne, North East, NE22AE"
9416,"Station Hotel, Nottingham, , GB, Ashfield, East Midlands, NG157TQ"
9725,"The Town House, 34, Old Elvet, Durham, County Durham, North East, DH13HN"
8805,"The Rose and Crown, 55, High Street, London, Merton, SW195BA"
4072,"Belmont Hotel, 104, Sussex Gardens, London, Westminster, W21UH"
5685,"The Ned, 27, Poultry, London, City of London, EC2R8AJ"
2641,"Park Hotel, 327, Cranbrook Road, Ilford, , GB, Redbridge, London, IG14UE"
4020,"Crowne Plaza, 17, Wollaton Street, Nottingham, East Midlands, NG15RH"
11366,"Best Western Derwent Manor Hotel, Consett, Northumberland, North East, DH89BB"
4982,"The Jade, 52, Hogarth Road, London, , GB, Kensington and Chelsea, SW50PU"
7290,"Empire Hotel, 73, Church Walks, Llandudno, , GB, Conwy, LL302HE"
9342,"Park Grand Marble Arch, 31, Great Cumberland Place, London, Westminster, W1H7TA"
4848,"Premier Inn, Stratford Road, Solihull, West Midlands, B904EP"
10811,"Dunskaith Villa, 33, Greig Street"
10304,"Melandre Hotel By Saba, 75, Shepherds Bush Road, London, GB"
4060,"Balmoral House Hotel, 157, Sussex Gardens, London"
7132,"Ely House Hotel, 53, Tettenhall Road, Wolverhampton, West Midlands, WV39NB"
7438,"The InterContinental Edinburgh - The George, 19-21, George Street, Edinburgh, City of Edinburgh, EH22PB"
5279,"Premier Inn, Kingsway North, Gateshead, North East, NE110NU"
3916,"Mercure Nottingham Sherwood Hotel, 296, Mansfield Road, Nottingham, East Midlands, NG52BT"
10797,"Haylie Hotel, 138, Irvine Road, Largs, , GB, North Ayrshire, KA308EY"
4174,"Cathedral Quarter Hotel, 16, Saint Mary's Gate, Derby, East Midlands, DE13JR"
5478,"Travelodge Birmingham Central Moor Street, Carrs Lane, Birmingham, West Midlands, B47SS"
9623,"Dean Court Hotel, 57, Inverness Terrace"
11258,"Park Grand London Hyde Park, 78-82, Westbourne Terrace"
6843,"Holly House Hotel, 20, Hugh Street, London, Westminster, SW1V1RP"
6454,"Hillside Hotel, 3, Queen's Road, Dunbar, East Lothian, EH421RB"
9664,"Bron Orme Hotel, 54, Church Walks, Llandudno, , GB, Conwy, LL302HL"
11255,"The Darlington Hyde Park, 111-117, Sussex Gardens, London"
7450,"Bennetts, 20-22, Derby Road, Nottingham, Erewash, East Midlands, NG101LW"
7539,"The Belgrave, 80-86, Belgrave Road, London, Westminster, SW1V2BJ"
4990,"The Waterside, 19, Ness Bank, Inverness, Highland, IV24SF"
6029,"The Soho Hotel, 4, Richmond Mews, London, Westminster, W1D3DH"
6963,"Richmond Hotel, 44-45, Marine Terrace, Ceredigion, SY232BX"
8336,"Hotel Express, Cuthbert Street, Gateshead, North East, NE81AF"
4914,"The Victoria Inn London, 65-67, Belgrave Road, London, Westminster, SW1V2BG"
8358,"Beamish Park Hotel, Beamishburn Road, Gateshead, Tyne And Wear, County Durham, North East, NE165EG"
7291,"Grand Hotel, North Parade, Llandudno, , GB, Conwy, LL302LR"
11253,"The Leddie Hotel & Restaurant, West Main Street, Aberlady, East Lothian, EH320RE"
2872,"Swn Y Mor Hotel, 5, Nevill Crescent, Llandudno, , GB, Conwy, LL301AT"
6522,"Travelodge, 1, Lumina Way, Enfield, London, EN11FS"
5736,"Premier Inn, Derwenthaugh Road, Gateshead, North East, NE163BL"
1833,"The Baytree Hotel, 6-9, North Parade, Llandudno, , GB, Conwy, LL302LP"
11337,"Park Plaza Riverbank, 18, Albert Embankment, London, Lambeth, SE17TJ"
8807,"Roseview Hotel, 2, Queen's Avenue, London, Haringey, N103NR"
3985,"Norton House Hotel, Newbridge, City of Edinburgh, EH288LX"
4214,"Derby Station Hotel, 21, Midland Road, Derby, East Midlands, DE12SL"
9854,"K Hotel Kensington, 131-137, Cromwell Road"
10528,"Leapark Hotel, 130, Bo'ness Road, Grangemouth, Falkirk, FK39BX"
4081,"The Castleton Hotel, 164-166, Sussex Gardens, London"
10903,"Homestay, 2, Bulstrode Road, Hounslow, London, TW33AT"
7298,"Elm Tree Hotel, 24, North Parade, Llandudno, , GB, Conwy, LL302LP"
7194,"Malmaison Edinburgh City, 21-22, St Andrew Square, Edinburgh, City of Edinburgh, EH21AF"
5383,"Royal Pavillion Townhouse, 12, Regency Square"
6316,"Glenfinnan House Hotel, Glenfinnan, Highland, PH374LT"
8448,"Radisson RED, Lime Street, Liverpool"
5079,"Crowne Plaza, Holliday Street, Birmingham, West Midlands, B11HH"
7635,"Grampian Hotel, 37-39, York Place, Perth, Perth and Kinross, PH28EH"
