orig_indexA,orig_indexB,duplicate_prob,pred_label,true_label,pred_string,true_string,distance_m,addressA,addressB
5311,8183,0.8346182107925415,1,0,duplicate,non-duplicate,0.0,"Copthorne Hotel Merry Hill Dudley, The Waterfront, Level Street The WaterfrontBierley Hill Dudley, West Midlands, DY51UR","Copthorne Hotel Merry Hill Dudley, The Waterfront, Level Street The WaterfrontBierley Hill Dudley, West Midlands, DY51UR"
33976,6319,0.858268678188324,1,0,duplicate,non-duplicate,16.406953961823437,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ","Richley Hotel, 59 Hornby Road, Blackpool, North West, FY14QJ"
33976,33523,0.7403179407119751,1,0,duplicate,non-duplicate,15.262475358119746,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ","DJ Suites Blackpool, 40-48 Hornby Road Blackpool, North West, FY14QJ"
33976,34112,0.858268678188324,1,0,duplicate,non-duplicate,16.406953961823437,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ","Richley Hotel, 59 Hornby Road, Blackpool, North West, FY14QJ"
33976,5661,0.8250883221626282,1,0,duplicate,non-duplicate,19.9481826798808,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ","Barrons Hotel, 58-60 Hornby Road Blackpool, North West, FY14QJ"
33976,5868,0.7403179407119751,1,0,duplicate,non-duplicate,15.262475358119746,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ","DJ Suites Blackpool, 40-48 Hornby Road Blackpool, North West, FY14QJ"
33976,6362,0.8238173723220825,1,0,duplicate,non-duplicate,39.50392397811627,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ","Rawcliffe Holiday Lets, 69 Hornby Road, Blackpool, North West, FY14QJ"
33976,2483,0.8000069260597229,1,0,duplicate,non-duplicate,151.3949025931003,"The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ","Raffles Hotel, 73-75, Hornby Road, Blackpool, , United Kingdom, North West, FY14QJ"
6076,6335,0.7453303337097168,1,0,duplicate,non-duplicate,7.360952930638961,"Brooklands Over 50's Only, 28/30 King Edward Avenue Blackpool, North West, FY29TA","The Woodleigh Over 50's B & B, 32 King Edward Ave, Blackpool, North West, FY29TA"
6076,2333,0.8380707502365112,1,0,duplicate,non-duplicate,4.261335996926911,"Brooklands Over 50's Only, 28/30 King Edward Avenue Blackpool, North West, FY29TA","Brooklands Hotel, 28-30, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA"
6300,5977,0.7674880623817444,1,0,duplicate,non-duplicate,78.61017998383636,"Jade Apartments, 10 Clifton Drive Lancashire, Blackpool, North West, FY41NX","The Scala, 22 Clifton Drive Blackpool, North West, FY41NX"
6300,6354,0.7675947546958923,1,0,duplicate,non-duplicate,27.463069530318243,"Jade Apartments, 10 Clifton Drive Lancashire, Blackpool, North West, FY41NX","Hotel Avano Pleasure Beach, 8 Clifton Drive, Blackpool, North West, FY41NX"
46861,58839,0.8185982704162598,1,0,duplicate,non-duplicate,0.0,"Little Haven Hotel, River Drive Littlehaven Tyne & Wear LittlehavenSouth Shields Tyne & Wear, South Tyneside, North East, NE331LH","Little Haven Hotel, River Drive Littlehaven Tyne & Wear LittlehavenSouth Shields Tyne & Wear, South Tyneside, North East, NE331LH"
60525,21584,0.7966188788414001,1,0,duplicate,non-duplicate,0.0,"Novotel London Stansted, Round Coppice Road . London Stansted Airport Stansted, Uttlesford, East of England, CM241SF","Novotel London Stansted, Round Coppice Road . London Stansted Airport Stansted, Uttlesford, East of England, CM241SF"
5541,6325,0.7234448790550232,1,0,duplicate,non-duplicate,76.38633597080816,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA","Myrtle House, 25 Albert Road, Blackpool, North West, FY14TA"
5541,33939,0.8035544753074646,1,0,duplicate,non-duplicate,64.69318070685702,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA","The Aspire, 51 Albert Road Blackpool, North West, FY14TA"
5541,6208,0.8035544753074646,1,0,duplicate,non-duplicate,64.69318070685702,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA","The Aspire, 51 Albert Road Blackpool, North West, FY14TA"
5541,33132,0.8513634204864502,1,0,duplicate,non-duplicate,0.0,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA","The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA"
5541,34133,0.7234448790550232,1,0,duplicate,non-duplicate,76.38633597080816,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA","Myrtle House, 25 Albert Road, Blackpool, North West, FY14TA"
33658,33959,0.7927443385124207,1,0,duplicate,non-duplicate,25.33940202462424,"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW","The Stafford B&B, 97 Albert Road Blackpool, North West, FY14PW"
33658,6067,0.8235890865325928,1,0,duplicate,non-duplicate,15.916140894216532,"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW","Albert Hotel, 117 Albert Road Blackpool, North West, FY14PW"
33658,6097,0.784050703048706,1,0,duplicate,non-duplicate,111.72343808597483,"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW","Ruskin Hotel, 55-61 Albert Road Blackpool, North West, FY14PW"
33658,6223,0.7927443385124207,1,0,duplicate,non-duplicate,25.33940202462424,"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW","The Stafford B&B, 97 Albert Road Blackpool, North West, FY14PW"
