original_address,lat,long,formatted,name,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
"Haven Hotel, 6 8 Sussex Gardens London, Westminster, W21UL",51.51358045,-0.172938001,"8 Sussex Gardens, London, W2 1UL, United Kingdom",,8,Sussex Gardens,,W2 1UL,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hilton London Metropole, 225 Edgware Road  London, Westminster, W21JU",51.51933835,-0.169914864,"Hilton London Metropole, 225 Edgware Road, London, W2 1JU, United Kingdom",Hilton London Metropole,225,Edgware Road,,W2 1JU,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Seaclyffe Hotel, 11 Church Walks Llandudno Conwy, LL302HG",53.3271186,-3.83417477,"Seaclyffe Hotel, 11-12 Church Walks, Llandudno, LL30 2HG, United Kingdom",Seaclyffe Hotel,12-Nov,Church Walks,,LL30 2HG,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,0.9,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Cairndow Stagecoach Inn, Cairndow, Argyll and Bute, PA268BN",56.2559665,-4.9375024,"Cairndow Stagecoach Inn, A83, Cairndow, PA26 8BN, United Kingdom",Cairndow Stagecoach Inn,,A83,,PA26 8BN,,Cairndow,Argyll and Bute,AGB,Scotland,SCT,United Kingdom,gb,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Holiday Inn Derby Riverlights, Morledge Derby, East Midlands, DE12AY",52.92258,-1.47431,"Holiday Inn Derby Riverlights, Derby, DE1 2AY, United Kingdom",Holiday Inn Derby Riverlights,,,,DE1 2AY,,Derby,Derbyshire,DBY,England,ENG,United Kingdom,gb,0.8,1,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"The Bay, Burntisland Road Kinghorn  Burntisland Kinghorn Fife, KY39YE",56.06484191,-3.186821724,"Burntisland Road, Kinghorn, KY3 9YE, United Kingdom",Burntisland Road,,Burntisland Road,,KY3 9YE,Pettycur,Kinghorn,Fife,FIF,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Travelodge Birmingham Central Moor Street, Carrs Lane Birmingham, West Midlands, B47SS",52.47961759,-1.893802543,"Carrs Lane, Birmingham, B4 7SS, United Kingdom",Carrs Lane,,Carrs Lane,Chinese Quarter,B4 7SS,Jewellery Quarter,Birmingham,West Midlands,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Craigag Lodge, Glenfinnan, Highland, PH374LT",56.86304065,-5.409108409,"Craigag Lodge Glenfinnan, Road to the Isles, Glenfinnan, PH37 4LT, United Kingdom",Craigag Lodge Glenfinnan,,Road to the Isles,,PH37 4LT,,Glenfinnan,Highland,HLD,Scotland,SCT,United Kingdom,gb,0.9,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Osprey Hotel, Ruthven Road Kingussie, Highland, PH211EN",57.07881643,-4.052948938,"Ruthven Road, Kingussie, PH21 1EN, United Kingdom",Ruthven Road,,Ruthven Road,,PH21 1EN,,Kingussie,Highland,HLD,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"St Martins Lane, 45 St Martin's Lane London, Westminster, WC2N4HX",51.51042635,-0.126264647,"St Martins Lane Hotel, 45 Saint Martin's Lane, London, WC2N 4HX, United Kingdom",St Martins Lane Hotel,45,Saint Martin's Lane,Seven Dials,WC2N 4HX,Bloomsbury,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Pullman London St Pancras, 100-110 Euston Road London, Camden, NW12AJ",51.5288526,-0.1281323,"Shaw Theatre, 100-110 Euston Road, London, NW1 2AJ, United Kingdom",Shaw Theatre,100-110,Euston Road,London Borough of Camden,NW1 2AJ,Somers Town,London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Bay, Burntisland Road Kinghorn  Burntisland Kinghorn Fife, KY39YE",56.06484191,-3.186821724,"Burntisland Road, Kinghorn, KY3 9YE, United Kingdom",Burntisland Road,,Burntisland Road,,KY3 9YE,Pettycur,Kinghorn,Fife,FIF,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
