text_a,text_b,label,clusterA,clusterB
"Lluesta Cottage, Lon Sarn Bach, Gwynedd, LL537EB","Gosling's, LâÂ¥n Gwydryn, Abersoch, , United Kingdom, Gwynedd, LL537EB",0,2473,2739
"Number 42, King Edward Ave Blackpool, North West, FY29TA","Number 42, 42, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",1,554,554
"The Black Bull Inn, 44 Main Street Sedbergh  Cumbria, Westmorland and Furness, North West, LA105BL","The Black Bull, 44, Main Street, Sedbergh, Westmorland and Furness, North West, LA105BL",1,2709,2709
"Ramada Encore Bournemouth, 22 Bath Road BournemouthDorset, Bournemouth, Christchurch and Poole, South West, BH12NS","Holiday Inn, 22, Bath Road, Bournemouth, , GB, Bournemouth, Christchurch and Poole, South West, BH12NS",0,3754,2536
"Rhodes Hotel, 195 Sussex Gardens London Hyde Park, Westminster, W22RJ","Aspen Apartments, 176, Sussex Gardens, London, , United Kingdom, Westminster, W23UA",0,3445,3789
"Strawberry Fields, 6 7 New Steine Brighton, Brighton and Hove, South East, BN21PB","The Charm Brighton Boutique Hotel, 20-21, New Steine, Brighton, , United Kingdom, Brighton and Hove, South East, BN21PD",0,310,2744
"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","The Alpha, 9, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0,554,848
"K+K Hotel George Kensington, 1 15 Templeton Place Earl  London, Kensington and Chelsea, SW59NB","K+K Hotel George, 1-15, Templeton Place, London, , GB, Kensington and Chelsea, SW59NB",1,593,593
"East Close Hotel, Lyndhurst Road HintonChristchurchDorset, New Forest, South East, BH237EF","East Close Country House Hotel, Lyndhurst Road, New Forest, , United Kingdom, South East, BH237EF",1,1917,1917
"Blyth Hotel, Station Road  Southwold, East Suffolk, East of England, IP186AY","The Blyth Hotel, Station Road, Southwold, , United Kingdom, East Suffolk, East of England, IP186AY",1,2944,2944
"The Wheatsheaf, 16 Saint Thomas Square  Newport, Isle of Wight, South East, PO301SG","The Wheatsheaf Inn, 16, St Thomas' Square, Newport, Isle of Wight, , GB, South East, PO301SG",1,1726,1726
"The Georgian Hollies Hotel, 82/90 Albert Road Blackpool, North West, FY14PR","The Roselea Hotel, 67, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",0,999,178
"The Paramount, 16 Hotham Street Liverpool, North West, L35UF","The Lord Nelson Hotel, 15-17, Hotham Street, Liverpool, North West, L35PD",0,3028,2554
"Ashbank Hotel, Carradale CarradaleArgyll, Argyll and Bute, PA286RY","Ashbank Hotel, B879, Carradale, , GB, Argyll and Bute, PA286RY",1,336,336
"The Hamlet Hotel, Shakespeare Terrace Folkestone, Folkestone and Hythe, South East, CT202DX","The Clifton Hotel, Clifton Gardens, Folkestone, , GB, Folkestone and Hythe, South East, CT202EB",0,3851,3277
"The Clifton, 43-46 Marine Road West Morecambe, Lancaster, North West, LA31BZ","Clarendon Hotel, 74-76, Marine Road West, Morecambe, Lancaster, North West, LA44EP",0,869,1158
"Caberfeidh B&B, 6 Millburn Road Inverness, Highland, IV23PS","Chieftan Hotel, Millburn Road, Inverness, , United Kingdom, Highland, IV23PS",1,2535,2535
"Haven Hotel, 6 8 Sussex Gardens London, Westminster, W21UL","Albro House, 155, Sussex Gardens, London",0,3250,1247
"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","Deneley Hotel, 15, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0,848,554
"The Golden Cheval Hotel, 203 Central Promenade Blackpool, North West, FY15DL","Balmoral Hotel, 215-217, Promenade, Blackpool, North West, FY15DL",0,2912,3838
"Grand Plaza Serviced Apartments, 42 Princes Square Bayswater London, Westminster, W24AD","The 55 By Le Mirage, 33-36, Prince's Square, London, Westminster, W24NJ",0,3886,390
"Fairhaven Hotel, 19 Meadow Road BeestonNottinghamNottinghamshire, Broxtowe, East Midlands, NG91JP","Fairhaven, 19, Meadow Road, Nottingham, Broxtowe, East Midlands, NG91JP",1,1234,1234
"The Grange Manor, Glensburgh Grangemouth, Falkirk, FK38XJ","The Grange Manor, Glensburgh Road, Falkirk, FK38XJ",1,805,805
"Radisson Blu Hotel Bristol, Broad Quay Bristol & West House Bristol, Bristol, City of, South West, BS14BY","Bristol Marriott Royal Hotel, College Green, Bristol, , GB, Bristol, City of, South West, BS15TA",0,1010,3871
"The Claremont, 89 St. Michael's Road  Bournemouth, Bournemouth, Christchurch and Poole, South West, BH25DR","The Manchester Hotel, 56, Saint Michael's Road, Bournemouth, Christchurch and Poole, South West, BH25EB",0,3313,97
"Crowne Plaza Stratford Upon Avon, Bridgefoot Stratford Upon Avon, Stratford-on-Avon, West Midlands, CV376YR","Crowne Plaza, Bridgefoot, Stratford-Upon-Avon, Stratford-on-Avon, West Midlands, CV376YR",1,3095,3095
"Morgans on the prom, 375 The Promenade Blackpool Lancashire, North West, FY16BQ","St Albans, 355, Promenade, Blackpool, , United Kingdom, North West, FY16BJ",0,3532,203
"The Edgemoor Country House Hotel And Restaurant, Haytor Road Bovey TraceySouth Devon, Teignbridge, South West, TQ139LE","Edgemoor Hotel, Haytor Road, Bovey Tracey, , United Kingdom, Teignbridge, South West, TQ139LE",1,240,240
"Chrysos Hotel, 25-27 Norfolk Square  London, Westminster, W21RX","Belvedere Hotel, 52-54, Norfolk Square, London, , GB, Westminster, W21RT",0,2434,3887
"Heatherlie House Hotel, 5 Heatherlie Park Selkirk, Scottish Borders, TD75AL","Heatherlie House Hotel, 5, Heatherlie Park, Selkirk, Scottish Borders, TD75AL",1,2204,2204
"Wynford Hotel, Clare Street  Cardiff, CF116BD","Wynford Hotel, 1-15, Clare Street, Cardiff, CF116BD",1,2604,2604
"North Beach Apartments, 184 The Promenade Blackpool, North West, FY11RJ","Britannia Grand Metropole Hotel, Promenade, Blackpool, North West, FY11RQ",0,1077,3348
"The Address, 91-93 Reeds Avenue Blackpool, North West, FY14DG","Norwood Hotel, 50-52, Read's Avenue, Blackpool, , United Kingdom, North West, FY14DE",0,1493,3056
"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB","24 Royal Terrace, 24, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0,721,50
"Victoria House Hotel, 29 30 George St Oxford, South East, OX12AY","George Oxford Hotel, 29-30, George Street, Oxford, , United Kingdom, South East, OX12AY",1,3557,3557
"Harrington House, Sherborne Street Bourton-on-the-Water Bourton On The WaterCheltenhamGloucestershire, Cotswold, South West, GL542BY","HF Holidays Harrington House, Sherbourne Street, Cheltenham, , GB, Cotswold, South West, GL542BY",1,274,274
"Clifton Court Hotel, 12 Clifton Drive Blackpool, FY41XN","Clifton Court Hotel, 12, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",1,160,160
"Edinburghhouse Hotel, 90-92 Pilrig Street EdinburghMidlothian, City of Edinburgh, EH65AY","Edinburgh House Hotel, 90-92, Pilrig Street, Edinburgh, , United Kingdom, City of Edinburgh, EH65AY",1,2037,2037
"Jade Apartments, 10 Clifton Drive Lancashire, Blackpool, North West, FY41NX","The Stuart Hotel, 27-29, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NT",0,2449,1578
"The Malibu Party Hotel, 114-116 Albert Road Blackpool, nan","The Belvedere, 91-93, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",0,1743,178
"Best Western Burns Hotel Kensington, 18-26 Barkston Gardens KensingtonLondon, Kensington and Chelsea, SW50EN","Merlyn Court Hotel, 2, Barkston Gardens",0,3203,3477
"Sidney Hotel London Victoria, 68 76 Belgrave Road Victoria VictoriaLondon, Westminster, SW1V2BP","The Park Hotel, 64, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BP",0,1171,1066
"Martins, 26 King Edward Avenue ; 26 King Edward Avenue ;, Blackpool, North West, FY29TA","The Pembroke, 11, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0,251,1138
"Tuddenham Mill Luxury Boutique Hotel, High Street Tuddenham. TuddenhamNewmarketSuffolk, West Suffolk, East of England, IP286SQ","Tuddenham Mill, High Street, West Suffolk, East of England, IP286SQ",1,2318,2318
"The Grand Hotel, Seafront TorquayDevon, Torbay, South West, TQ26NT","The Grand Hotel, Torquay, Torbay, South West, TQ26NT",1,2094,2094
"The Aspire, 51 Albert Road Blackpool, North West, FY14TA","La Tour, 92-94, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0,1823,2930
"Esplanade Hotel, 27-29 Marine Parade East Clacton on Sea, Tendring, East of England, CO151UU","The Ocean Hotel, 5, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO151PS",0,3903,3905
"Dorchester House, 17 Southey Street, Cumberland, North West, CA124EG","Goodwin House, 29, Southey Street, Keswick, , United Kingdom, Cumberland, North West, CA124EE",0,3015,2995
"Earlsway Hotel, 205 Central Promenade Blackpool, North West, FY15DL","Royal Seabank Hotel, 219-223, Promenade, Blackpool, North West, FY15DL",0,3651,2452
"Number 17 Bath, 17 Pulteney Road Bath, Bath and North East Somerset, South West, BA24EZ","The Ayrlington, Bath and North East Somerset, South West, BA24EZ",0,2163,2521
"Balmoral Hotel, High Street MoffatDumfriesshire, Dumfries and Galloway, DG109DL","The Balmoral Hotel & Restaurant, High Street, Dumfries and Galloway, DG109DL",1,1003,1003
"James' Place at Dowlais, 84 High Street Caeharris Dowlais Cae HarrisMerthyr Tydfil, CF483HB","James' Place @ Dowlais, 84, High Street, Pant, , United Kingdom, Merthyr Tydfil, CF483HB",1,538,538
"Premier Inn Cambridge City Centre, Newmarket Road Cambridge Cambridge, East of England, CB13EP","Travelodge Cambridge Newmarket Road, 180-190, Newmarket Road, Cambridge, East of England, CB58HE",0,3842,3288
"Barnsdale Lodge, The Avenue ExtonOakhamRutland, East Midlands, LE158AH","Barnsdale Lodge, The Avenue, Oakham, , GB, Rutland, East Midlands, LE158AH",1,3469,3469
"Whitminster Inn, Bristol Road GloucesterEngland, Stroud, South West, GL27NY","Whitminster Inn, Bristol Road, Gloucester, , United Kingdom, Stroud, South West, GL27NY",1,469,469
"The St Ives, West Bay DunoonArgyll, Argyll and Bute, PA237HU","Milton Tower Hotel, 62, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",0,3460,1648
"Columbia, 95-99 Lancaster Gate  London, Westminster, W23NS","Columbia Hotel, 95-99, Lancaster Gate, London",1,303,303
"The Darlington Hyde Park, 111 117 Sussex Gardens Paddington Paddingto London, NW22RU","The Castleton Hotel, 164-166, Sussex Gardens, London",0,1014,618
"Stonar Guest house, 19 Agate Road Clacton on Sea, Tendring, East of England, CO151RA","Stonar Hotel, 19, Agate Road, Clacton-on-Sea, Tendring, East of England, CO151RA",1,3621,3621
"The Strand Lodge, 5-6 Wilton Parade Blackpool, North West, FY12HE","The Strand Lodge, 5, Wilton Parade, Blackpool, , United Kingdom, North West, FY12HE",1,1025,1025
"Luna And Simone Hotel, 47 49 Belgrave Rd Victoria London, Westminster, SW1V2BB","Lidos Hotel, 45, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BB",0,3695,3326
"Sidney Hotel London Victoria, 68 76 Belgrave Road Victoria VictoriaLondon, Westminster, SW1V2BP","Lidos Hotel, 45, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BB",0,1171,3326
"Cadeby Lodge, 89 Hornby Road Blackpool, North West, FY14QP","The Beechfield, 106-110, Hornby Road, Blackpool, , United Kingdom, North West, FY14QS",0,3634,1448
"Bedruthan Hotel and Spa, Mawgan Porth Cornwall, South West, TR84BU","Bedruthen Steps Hotel, Mawgan Porth, Cornwall, South West, TR84BU",1,228,228
"Brooklands Over 50's Only, 28/30 King Edward Avenue Blackpool, North West, FY29TA","The Alpha, 9, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0,554,848
"Crown Hotel, 9 North Crescent Portpatrick PortpatrickWigtownshire, Dumfries and Galloway, DG98SX","Crown Hotel, 9, North Crescent, Portpatrick, Dumfries and Galloway, DG98SX",1,1159,1159
"Novotel London Blackfriars, 46 Blackfriars Road London, Southwark, SE18NZ","Novotel London Blackfriars, 46, Blackfriars Road, London, Southwark, SE18NZ",1,2274,2274
"Twelve Apartments, 12 King Edward Avenue, Blackpool, North West, FY29TD","Fairmont Hotel, 40, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0,2052,554
"Adelaide Lodge, 100 Adelaide Street Blackpool, North West, FY14LA","OYO Gresham Hotel, 106-114, Adelaide Street, Blackpool, , United Kingdom, North West, FY14LE",0,277,3307
"The Carlton, 64 Albert Road Blackpool, North West, FY14PR","Calypso Hotel, 39-41, Albert Road, Blackpool, North West, FY14TA",0,1692,3358
"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW","The Sutcliffe Hotel, 70-72, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0,3418,3202
"Ruskin Hotel, 55-61 Albert Road Blackpool, North West, FY14PW","Fern Villa Hotel, 73, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",1,178,178
"Premier Inn Northwich Sandiway, 520 Chester Road Sandiway  Northwich Cheshire SandiwayNorthwich, Cheshire West and Chester, North West, CW82DN","Premier Inn, 520, Chester Road, Northwich, Cheshire West and Chester, North West, CW82DN",1,3330,3330
"The Belvedere, 91-93 Albert Road  Blackpool, North West, FY14PW","The Belvedere, 91-93, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",1,178,178
"Culzean House Glen Finart, Argyll and Bute, PA238TT","Culzean House, Ardentinny, Argyll and Bute, PA238TT",1,536,536
"Artist Residence London, 52 Cambridge Street Pimlico London, Westminster, SW1V4QQ","Artist Residence, 52, Cambridge Street, London, , GB, Westminster, SW1V4QQ",1,660,660
"Beachcliffe Holiday Apartments, 3 King Edward Avenue Blackpool, North West, FY29TD","Number 42, 42, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0,848,554
"North Hill Hotel, North Hill 51  Colchester, East of England, CO11PY","The North Hill Hotel, 51, North Hill, Colchester, , United Kingdom, East of England, CO11PY",1,638,638
"The Glove House, 24 Oxford Street Woodstock, West Oxfordshire, South East, OX201TS","The Marlborough Arms, 26, Oxford Street, Woodstock, , United Kingdom, West Oxfordshire, South East, OX201TS",1,2141,2141
"Kirkview Guest House, 26 Palatine Road Blackpool, North West, FY14BT","Lyndale Holiday Flats, 40, Palatine Road, Blackpool, , United Kingdom, North West, FY14BY",0,282,1526
"Crockstead Farm Hotel, Eastbourne Road LewesHallandEast Sussex, Wealden, South East, BN86PT","Crockstead Farm Hotel, Eastbourne Road, Halland, Wealden, South East, BN86PT",1,1224,1224
"Anglesey House, 21 Church Walk Llandudno, Conwy, LL302HG","Chelsea Hotel, 67, Church Walks, Llandudno, , GB, Conwy, LL302HG",0,2775,1517
"Munro Guest House, 14 Princes Street Stirling, FK81HQ","Munro Guest House, 14, Princes Street, Stirling, FK81HQ",1,3141,3141
"The Royal Albion, 6-12 Albion Street Broadstairs, Thanet, South East, CT101AN","Royal Albion Hotel, 12, Albion Street, Broadstairs, Kent, , GB, Thanet, South East, CT101AN",1,1505,1505
"Travelodge Billingshurst Five Oaks, A29 Stane Street Five OaksBillingshurst West Sussex, Horsham, South East, RH149AE","Travelodge, Stane Street, Billingshurst, , GB, Horsham, South East, RH149AE",1,648,648
"8 West Coast, Flat 8 West Coast Beacon Road, Bournemouth, Christchurch and Poole, South West, BH25ER","Beacon Hotel, Beacon Road, Bournemouth, Christchurch and Poole, South West, BH25DB",0,2471,720
"Travelodge Bristol Mitchell Lane, Mitchell Lane Bristol, Bristol, City of, South West, BS16BU","Travelodge, Mitchell Lane, Bristol, Bristol, City of, South West, BS16BU",1,323,323
"The Nayland, 132-134 Sussex Gardens London, Westminster, W21UB","Orchard Hotel, 86-90, Sussex Gardens, London, Westminster, W21UH",0,2519,1121
"ibis Birmingham Centre Irving Street, 55 Irving Street Birmingham, West Midlands, B11DH","Ibis (Rooms), 55, Irving Street, Birmingham, West Midlands, B11DH",1,1064,1064
"Best Western Valley Hotel, Buildwas Road, Iron Bridge Ironbridge Ironbridge Telford, Telford and Wrekin, West Midlands, TF87DW","Best Western Valley Hotel, Buildwas Road, Telford, , GB, Telford and Wrekin, West Midlands, TF87DW",1,555,555
"Tigh na Sgiath Country House Hotel, SKYE OF CURR ROAD GRANTOWN ON SPEY, INVERNESS, Highland, PH263PA","Tigh na Sgiath, Skye of Curr Road, Dulnain Bridge, , United Kingdom, Highland, PH263PA",1,1587,1587
"Apartment In Brighton With Sea View, Regency Square, Brighton and Hove, South East, BN12FJ","Artist Residence, 33, Regency Square, Brighton and Hove, South East, BN12GG",0,359,1670
"Best Western Bradford Guide Post Hotel, Common Road Low Moor Low MoorBradford, Yorkshire and The Humber, BD120ST","The Guide Post Hotel, Common Road, Bradford, , GB, Yorkshire and The Humber, BD120ST",0,2446,3663
"Troy Hotel, 68-70 Queensborough Terrace Bayswater London, Westminster, W23SH","Apollo Hotel, 64-66, Queensborough Terrace",0,3551,3184
"Country Living Hotel Lansdown Grove Bath, Lansdown Road Bath, Bath and North East Somerset, South West, BA15EH","The Lansdown Grove Hotel, Lansdown Road, , GB, Bath and North East Somerset, South West, BA15EH",1,299,299
"Hotel 52; Sure Hotel Collection by Best Western, 52 South Parade, Whitley Bay, , United Kingdom, North Tyneside, North East, NE262RQ","Hotel 52, 52, South Parade, Whitley Bay, , GB, North Tyneside, North East, NE262RQ",1,3111,3111
"The Darlington Hyde Park, 111 117 Sussex Gardens Paddington Paddingto London, NW22RU","The Gresham Hotel, 116, Sussex Gardens, London, Westminster, W21UA",0,1014,134
"Avon Hotel, 50 Norfolk Square Hyde ParkLondon, Westminster, W21RT","Continental Hotel, 36-42, Norfolk Square, London, , GB, Westminster, W21RT",0,2724,3102
"Sorrento House, 83 Coronation Street Blackpool, North West, FY14PD","The New Avalon, 112, Coronation Street, Blackpool, , United Kingdom, North West, FY14QQ",0,1310,2767
"Bradleys Hotel, 80 Albert Road Blackpool, North West, FY14PR","The Avon Hotel, 112, Albert Road, Blackpool, , United Kingdom, North West, FY14PN",0,2435,3054
"Jewel Rooms, 148 Crown Street, Aberdeen City, AB116HS","The Brentwood Hotel Oyo, 101, Crown Street, Aberdeen, , United Kingdom, Aberdeen City, AB116HH",0,1073,3635
"Peckforton Castle, Stone House Lane TARPORLEY, Cheshire East, North West, CW69TN","Peckforton Castle, Stone House Lane, , United Kingdom, Cheshire East, North West, CW69TN",1,2644,2644
"Sharn-Bek Hotel, 24 Alexandra Road Blackpool, North West, FY16BU","The New Brooklyn, Alexandra Road, Blackpool, , United Kingdom, North West, FY16BH",0,426,1755
"Best Western Royal Clifton Hotel & Spa, The Promenade Southport SouthportLiverpool CoastMerseyside, Sefton, North West, PR81RB","Royal Clifton Hotel And Spa, The Promenade, Southport, , United Kingdom, Sefton, North West, PR81RB",0,235,1214
"Cross Keys Hotel, Main Street Canonbie CanonbieDumfriesshire, Dumfries and Galloway, DG140SY","Cross Keys Hotel, B7201, Canonbie, , United Kingdom, Dumfries and Galloway, DG140SY",1,2222,2222
"Premier Inn Basildon, Rayleigh Weir Arterial Road Rayleigh WeirBasildon Essex, Rochford, East of England, SS67SP","Premier Inn, Arterial Road, Rayleigh, Rochford, East of England, SS67SP",1,1679,1679
"Dial House Hotel, 62 Dukes Ride CrowthorneBerkshire, Bracknell Forest, South East, RG456DL","Dial House Hotel, 62, Duke's Ride, Crowthorne, , GB, Bracknell Forest, South East, RG456DL",1,2814,2814
"The Royal Hotel Clacton On Sea, 1 Marine Parade East Clacton-on-Sea, Tendring, East of England, CO151PU","Pacific Hotel, 7-9, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO151PS",0,1678,2389
"Albert Hotel, 117 Albert Road Blackpool, North West, FY14PW","Lumada, 100, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0,2138,156
