index_A,index_B
33976,33594
33976,6325
33976,5661
33976,10822
33976,2412
6076,6337
6076,33280
6076,2329
6076,2327
6076,2309
6076,2332
5608,6078
5608,6171
5608,5910
5541,5982
5541,33503
5541,34133
5541,2455
5541,2411
33658,2415
33658,2455
33658,2437
33449,33992
33449,2445
33449,2472
33449,2442
6276,5852
6319,33515
6319,2406
33974,6335
33974,5525
33310,2297
37837,37197
36550,2900
7005,7014
8280,8275
5869,2428
5869,2437
5869,2487
5869,2481
34037,2415
34037,2449
6146,33856
6146,33760
6146,33612
6146,10826
6146,2440
33959,6188
33959,33756
6067,2435
6026,6303
48505,4542
6188,33523
35959,35958
5986,2329
5986,2294
23686,1407
6097,33380
6097,33503
6097,2446
33491,2407
33491,2438
33491,2442
33920,33132
33920,6253
33920,2417
34061,33523
5760,33786
5760,33313
33856,33143
33856,5868
33856,6352
33856,2482
33143,33626
33143,2483
33143,2410
33143,2479
37751,37395
37751,4075
33382,2444
5764,2398
6223,2452
33805,6354
33380,6251
33380,33951
33380,2455
33380,2431
33380,2430
33380,2450
6192,33793
6192,33318
6192,2487
6155,2488
7062,6082
36609,1833
36609,9294
37260,4092
33786,6071
33786,33806
33786,2453
33786,2452
33750,2415
33750,2468
33750,2404
5878,2435
5878,2431
5878,2432
5878,2456
8292,8234
5675,33269
5675,33784
5675,5525
33248,33269
33523,2457
21200,21207
37784,37166
37784,6822
37784,4887
33524,33503
33506,33211
5993,6071
5993,2408
5993,2450
33116,5721
33116,2302
5732,33346
5732,33539
5732,5806
10343,10509
5982,33626
5982,2457
5982,2413
37456,37710
37456,37660
37456,37887
33729,6253
33729,2403
33793,6191
33793,2412
33793,2470
33594,2445
33594,2447
33594,2404
33503,34052
33503,2485
33503,2435
33503,2438
33503,2408
33503,2456
6158,34133
6158,2483
33766,2327
37493,37131
6325,2431
6325,2487
33346,33533
33346,33539
37269,4949
37142,6822
37142,4954
37142,4950
6071,6253
6071,2453
33533,5977
33533,33466
34112,6074
34112,2405
5686,33784
5686,2332
33939,2447
18324,1463
37166,4954
5654,5910
36669,7291
36669,7298
33646,5840
33646,6263
5840,5537
33313,6208
33313,2426
33313,2434
8201,5394
21664,13048
5717,33326
21141,128
21639,4505
6060,34195
33755,5842
33614,33349
33614,5718
33614,2324
5661,33992
5661,33354
5661,34031
33218,34063
33218,2459
56874,3286
33515,33597
33515,2414
33515,2417
33515,2411
7083,7017
7083,7097
7083,6080
36714,2901
61052,10647
6291,2517
36562,9294
6301,6191
6282,2518
6208,6196
6208,2487
34052,33806
34052,2455
34052,2483
34052,2427
34052,2429
34052,2433
37324,6823
37824,37711
35868,7052
33992,33731
33386,33717
36638,2899
6169,34156
6169,2482
6169,2429
8283,8239
5813,2482
37602,37840
8276,5376
6074,33108
6074,2414
6074,2404
5868,2449
5868,2479
37856,9623
37856,6819
33760,10822
33860,6196
33860,2452
33860,2456
6219,10821
6219,2441
20869,20857
6196,2479
6335,2298
35893,1044
5537,2452
5964,33626
5964,2445
5964,2479
5964,2438
5964,2436
5964,2452
5964,2450
6048,33626
33531,6369
33145,2459
37357,37274
6207,6153
6207,33806
6207,2437
6207,2447
34195,2502
7033,7097
37568,8831
6362,33806
6362,2443
6153,2436
6153,2454
6153,2470
12805,7639
6352,33756
6352,2449
6352,2405
6352,2435
33951,2428
33951,2403
33951,2431
33951,2409
6171,33280
6171,2295
8295,8262
8295,5372
33132,34133
33132,2426
33132,10826
36622,9429
33891,34133
33891,6285
33891,34031
33891,2406
33891,2468
5848,33211
5848,2502
37430,4101
7082,6096
33731,2408
33731,2468
34133,6285
34133,2434
37660,6822
37660,6413
38866,8868
34156,2472
34156,2481
33597,2485
33597,2436
33597,2456
5757,5716
5757,2332
6147,6261
6147,2488
37853,37317
37853,4098
37853,4090
33266,6142
5617,5555
30561,654
5716,2295
6142,2449
6142,10822
6142,2447
30499,2785
34009,2427
33784,2292
33407,2403
33407,2411
10940,3169
33398,6285
33398,2430
37887,6417
5529,6191
5529,2426
5529,2409
33318,2432
33318,2442
37257,9662
36708,2879
5555,2490
6253,2455
6253,2436
8332,5394
8332,5369
6191,2479
6191,2452
6191,2402
6191,2409
34026,2332
6285,2436
6285,10826
6285,2437
6285,2480
6285,2447
33330,2261
33612,2483
33612,2429
1610,7508
5588,2415
5588,2483
5588,2452
6120,2326
33995,2479
33995,2444
33995,2406
33995,2480
33995,2447
33806,2446
33806,2432
24831,24840
24831,5952
6263,2405
5525,2333
36640,9471
37697,4687
33756,2403
37704,4080
34031,2431
35838,7052
33626,2403
33626,2446
33626,2430
2477,2467
2407,2410
2407,2431
2407,2442
2455,2470
2455,2451
2455,2404
2478,2466
2295,2359
2295,2293
2295,2301
5618,4075
6080,6082
2443,2408
2443,2480
2443,2413
2426,2446
2426,2402
6415,4075
2453,2483
2453,2435
2453,2436
2453,2454
2453,2432
10821,2402
2483,2481
2434,2408
2434,2481
2434,2468
2434,2480
2445,2436
2445,2480
2414,2427
2414,2442
2428,2482
2428,2433
2449,2480
2479,2413
7290,2903
2405,2468
4096,6823
2330,2300
2438,10826
2436,2409
9664,2901
4086,7174
2408,2427
2408,2468
2408,2480
2408,2433
2403,2409
2417,2450
2446,2482
4078,6823
4949,6823
2427,2454
2454,2429
2454,10822
2437,10822
2327,2313
2452,2457
2294,2324
2402,2432
2402,2433
2482,2481
2482,2442
2430,10822
4070,4083
2300,2293
2313,6488
4091,4950
2396,2394
2450,2404
2412,2432
2490,2488
2326,2293
4085,6823
2325,2307
6823,4095
