orig_indexA,orig_indexB,text_a,text_b,lat_a,long_a,lat_b,long_b,prediction,true_label,generated_text,correct
44397,5264,"Mercure Manchester Piccadilly, Portland Street Manchester, North West, M14PH","Mercure Manchester Piccadilly, Portland Street, Manchester, North West, M14PH",53.48002,-2.23719,54.97070465,-1.6003751,1,1,MATCH,True
11056,7213,"Premier Inn Carlisle Central North, Kingstown Road CarlisleCumbria, Cumberland, North West, CA30AT","Premier Inn, Kingstown Road, Carlisle, Cumberland, North West, CA30AT",54.917132,-2.942774,51.0687867,-1.7935695,1,1,MATCH,True
22720,3006,"The Coastal Inn, 14 John Street Cellardyke, Fife, KY103BB","The Coastal Inn, 14, John Street, Cellardyke, , United Kingdom, Fife, KY103BB",56.22318,-2.689,54.0150182,-1.1602096,1,1,MATCH,True
38085,11325,"Malmaison London, 18-21 Charterhouse Square London, Islington, EC1M6AH","Malmaison Cheltenham, Bayshill Road, Cheltenham, South West, GL503AS",51.52063,-0.10029,51.51749655,-0.10208395,0,1,NO_MATCH,False
58905,4641,"Doubletree by Hilton Southampton, Bracken Place Chilworth ChilworthSouthampton, Test Valley, South East, SO163RB","DoubleTree by Hilton Hotel Southampton, Bracken Place, Southampton, Test Valley, South East, SO163RB",50.95411,-1.402069,51.52431445,-3.23982045,1,1,MATCH,True
37792,4980,"Ibis London Earls Court, 47 Lillie Road Earl's Court Earl's CourtLondon, Hammersmith and Fulham, SW61UD","Hotel Ibis London Earls Court, 47, Lillie Road, London, Hammersmith and Fulham, SW61UD",51.486065,-0.199929,51.4859086,-0.199159214,1,1,MATCH,True
38516,10691,"Citybest Hotel Limited, 31 33 Mansfield Road IlfordEssex, Redbridge, London, IG13BB","City Best Hotel, 31-37, Mansfield Road, Ilford, Redbridge, London, IG13BB",51.562266,0.066822,51.56202405,0.066753262,1,1,MATCH,True
39012,8005,"Clayton Hotel City of London, 10 New Drum Street London, Tower Hamlets, E17AT","Clayton Hotel, 10, New Drum Street, London, Tower Hamlets, E17AT",51.514899,-0.070659,51.51484775,-0.070686041,1,1,MATCH,True
60484,273,"The William Cecil, High Street St Martins StamfordLincolnshire, South Kesteven, East Midlands, PE92LJ","The William Cecil Hotel, 36-38, High Street St Martin's, Stamford, , United Kingdom, South Kesteven, East Midlands, PE92LJ",52.646595,-0.475996,52.2405601,-3.3784603,1,1,MATCH,True
21207,849,"Jurys Inn Edinburgh, 43 Jeffrey Street  Edinburgh, City of Edinburgh, EH11DH","Leonardo Royal Hotel Edinburgh, 43, Jeffrey Street, Edinburgh, , United Kingdom, City of Edinburgh, EH11DH",55.951298,-3.185957,53.9574221,-1.0859432,1,1,MATCH,True
23555,5736,"Premier Inn Newcastle, Derwent Haugh Road SwalwellGatesheadTyne and Wear, North East, NE163BL","Premier Inn, Derwenthaugh Road, Gateshead, North East, NE163BL",54.96143,-1.68719,54.973169,-1.618044,1,1,MATCH,True
35992,48,"The Grove House Hotel, Grove Road WallaseyMerseyside, Wirral, North West, CH453HF","Grove House Hotel, 45, Grove Road, Wallasey, , United Kingdom, Wirral, North West, CH453HF",53.429567,-3.063718,50.828685,-0.7858041,1,1,MATCH,True
