orig_indexA,orig_indexB,text_a,text_b,lat_a,long_a,lat_b,long_b,distance_m,prediction,true_label,generated_text,correct
37792,4980,"Ibis London Earls Court, 47 Lillie Road Earl's Court Earl's CourtLondon, Hammersmith and Fulham, SW61UD","Hotel Ibis London Earls Court, 47, Lillie Road, London, Hammersmith and Fulham, SW61UD",51.486065,-0.199929,51.4859086,-0.199159214,56.06669918374664,1,1,MATCH,True
38516,37551,"Citybest Hotel Limited, 31 33 Mansfield Road IlfordEssex, Redbridge, London, IG13BB","Best Inn Hotel, 10 Argyle Road Ilford, Redbridge, London, IG13BQ",51.562266,0.066822,51.56042,0.06736,208.60775063626724,0,0,NO_MATCH,True
38516,10691,"Citybest Hotel Limited, 31 33 Mansfield Road IlfordEssex, Redbridge, London, IG13BB","City Best Hotel, 31-37, Mansfield Road, Ilford, Redbridge, London, IG13BB",51.562266,0.066822,51.56202405,0.066753262,27.319991464750018,1,1,MATCH,True
38516,10687,"Citybest Hotel Limited, 31 33 Mansfield Road IlfordEssex, Redbridge, London, IG13BB","Best Inn Hotel, 10, Argyle Road, Ilford, Redbridge, London, IG13BQ",51.562266,0.066822,51.5604206,0.067422902,209.36127199704038,0,0,NO_MATCH,True
39012,8005,"Clayton Hotel City of London, 10 New Drum Street London, Tower Hamlets, E17AT","Clayton Hotel, 10, New Drum Street, London, Tower Hamlets, E17AT",51.514899,-0.070659,51.51484775,-0.070686041,5.9980789669724155,1,1,MATCH,True
6201,5686,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD",53.83533,-3.05128,53.83519,-3.053207,127.39887925989947,0,0,NO_MATCH,True
6201,5910,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","Waves, 12 Wilshaw Road Blackpool, North West, FY29SH",53.83533,-3.05128,53.833804,-3.053171,210.21256474744644,0,0,NO_MATCH,True
6201,5675,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","The Grosvenor View Guest house, King Edward Avenue, 7 BLACKPOOL, North West, FY29TD",53.83533,-3.05128,53.83517,-3.053352,137.11782036356377,0,0,NO_MATCH,True
6201,2333,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","Brooklands Hotel, 28-30, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",53.83533,-3.05128,53.8353933,-3.0517413,31.07669757682725,0,1,NO_MATCH,False
6201,33280,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD",53.83533,-3.05128,53.83519,-3.053207,127.39887925989947,0,0,NO_MATCH,True
6201,2307,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","Waves Hotel, 12, Willshaw Road, Blackpool, , United Kingdom, North West, FY29SH",53.83533,-3.05128,53.8378707,-3.0529705,303.5083194949547,0,0,NO_MATCH,True
6201,33269,"King Edward Hotel, 44 King Edward Avenue Blackpool, North West, FY29TA","The Grosvenor View Guest house, King Edward Avenue, 7 BLACKPOOL, North West, FY29TD",53.83533,-3.05128,53.83517,-3.053352,137.11782036356377,0,0,NO_MATCH,True
6253,33860,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","The Darfield Hotel, 54 Charnley Road Blackpool, North West, FY14PF",53.81517,-3.04876,53.81535,-3.04847,27.62337960904763,0,0,NO_MATCH,True
6253,33959,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","The Stafford B&B, 97 Albert Road Blackpool, North West, FY14PW",53.81517,-3.04876,53.81599,-3.04888,91.51951817193276,0,0,NO_MATCH,True
6253,6192,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Norwood Hotel, 50-52 Reads Avenue Blackpool, North West, FY14DE",53.81517,-3.04876,53.81354,-3.04691,218.1774310946169,0,0,NO_MATCH,True
6253,6251,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Avenue Guest House, 56 Reads Avenue Blackpool, North West, FY14DE",53.81517,-3.04876,53.813483,-3.046543,237.42798039257056,0,0,NO_MATCH,True
6253,33976,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","The Richley Hotel, 59 Hornby Road Blackpool, North West, FY14QJ",53.81517,-3.04876,53.81403,-3.04908,128.49120073467546,0,0,NO_MATCH,True
6253,6169,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Charnleygold Hotel, 38 Charnley Road Blackpool, North West, FY14PF",53.81517,-3.04876,53.81536,-3.04875,21.13723313503579,0,0,NO_MATCH,True
6253,6169,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Charnleygold Hotel, 38 Charnley Road Blackpool, North West, FY14PF",53.81517,-3.04876,53.81536,-3.04875,21.13723313503579,0,0,NO_MATCH,True
6253,33995,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF",53.81517,-3.04876,53.81517,-3.04876,0.0,1,1,MATCH,True
6253,2441,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","The Darfield Hotel, 54, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",53.81517,-3.04876,53.8153313,-3.0486577,19.151848804238604,0,0,NO_MATCH,True
6253,6223,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","The Stafford B&B, 97 Albert Road Blackpool, North West, FY14PW",53.81517,-3.04876,53.81599,-3.04888,91.51951817193276,0,0,NO_MATCH,True
6253,2479,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Norwood Hotel, 50-52, Read's Avenue, Blackpool, , United Kingdom, North West, FY14DE",53.81517,-3.04876,53.8144492,-3.0467397,154.96738908243,0,0,NO_MATCH,True
6253,6219,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Four Rooms Blackpool B&B, 60 Reads Avenue Blackpool, North West, FY14DE",53.81517,-3.04876,53.81356,-3.04633,239.7896606731055,0,0,NO_MATCH,True
6253,6319,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Richley Hotel, 59 Hornby Road, Blackpool, North West, FY14QJ",53.81517,-3.04876,53.81396,-3.04886,134.7059293429594,0,0,NO_MATCH,True
6253,2440,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","The Pearl Hotel, 52, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",53.81517,-3.04876,53.815287,-3.0487811,13.08334040164045,1,0,MATCH,False
6253,2435,"Victoria Hotel Blackpool, 30 Charnley Road Blackpool, North West, FY14PF","Charnley Gold, 38, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",53.81517,-3.04876,53.8151365,-3.049272,33.81787525157577,1,0,MATCH,False
39417,5463,"The Westin London City, 60 Upper Thames Street, City of London, London, , United Kingdom, EC4V3AD","Kingscliff Hotel, 55, Kings Parade, Clacton-on-Sea, Tendring, East of England, CO155JB",51.510975,-0.095299,51.51197105,-0.08879735,463.36529419096996,0,0,NO_MATCH,True
48563,7450,"Bennetts Hotel, 20-22 Derby Road Long Eaton Long EatonNottingham, Erewash, East Midlands, NG101LW","Bennetts, 20-22, Derby Road, Nottingham, Erewash, East Midlands, NG101LW",52.9005,-1.27417,52.9004829,-1.274157408,2.0805689663260583,1,1,MATCH,True
5686,5910,"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","Waves, 12 Wilshaw Road Blackpool, North West, FY29SH",53.83519,-3.053207,53.833804,-3.053171,154.1342713672338,0,0,NO_MATCH,True
5686,5675,"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","The Grosvenor View Guest house, King Edward Avenue, 7 BLACKPOOL, North West, FY29TD",53.83519,-3.053207,53.83517,-3.053352,9.770949275066911,0,0,NO_MATCH,True
5686,2333,"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","Brooklands Hotel, 28-30, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",53.83519,-3.053207,53.8353933,-3.0517413,98.79598931849961,0,0,NO_MATCH,True
5686,33280,"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD",53.83519,-3.053207,53.83519,-3.053207,0.0,1,1,MATCH,True
5686,2307,"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","Waves Hotel, 12, Willshaw Road, Blackpool, , United Kingdom, North West, FY29SH",53.83519,-3.053207,53.8378707,-3.0529705,298.48389747027795,0,0,NO_MATCH,True
5686,33269,"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","The Grosvenor View Guest house, King Edward Avenue, 7 BLACKPOOL, North West, FY29TD",53.83519,-3.053207,53.83517,-3.053352,9.770949275066911,0,0,NO_MATCH,True
46933,5264,"Staybridge Suites Newcastle, Buxton Street Newcastle upon Tyne, North East, NE16NL","Mercure Manchester Piccadilly, Portland Street, Manchester, North West, M14PH",54.972984,-1.599674,54.97070465,-1.6003751,257.37183464663934,0,0,NO_MATCH,True
46933,5484,"Staybridge Suites Newcastle, Buxton Street Newcastle upon Tyne, North East, NE16NL","Staybridge Suites, Buxton Street, Newcastle upon Tyne, , GB, North East, NE16NL",54.972984,-1.599674,54.97298031,-1.599889389,13.752621633857455,1,1,MATCH,True
57967,5144,"The St Johns Hotel, 651 Warwick Road SolihullBirmingham, West Midlands, B911AT","Premier Inn Solihull Town Centre, Station Road SolihullWest Midlands, B913RX",52.416542,-1.7807,52.41486394,-1.7821455,210.77800433498697,0,0,NO_MATCH,True
57967,4218,"The St Johns Hotel, 651 Warwick Road SolihullBirmingham, West Midlands, B911AT","St John's Hotel, 651, Warwick Road, Solihull, , GB, West Midlands, B911AT",52.416542,-1.7807,52.41681285,-1.780319361,39.66663163825695,1,1,MATCH,True
57967,6948,"The St Johns Hotel, 651 Warwick Road SolihullBirmingham, West Midlands, B911AT","Premier Inn, 68, Station Road, Solihull, , GB, West Midlands, B913RX",52.416542,-1.7807,52.41479245,-1.781545862,202.8231379295449,0,0,NO_MATCH,True
58124,61972,"Holiday Inn Taunton, Deane Gate Avenue Taunton, Somerset, South West, TA12UA","Holiday Inn Taunton, Deane Gate Avenue Taunton, Somerset, South West, TA12UA",51.018709,-3.066381,51.018709,-3.066381,0.0,1,1,MATCH,True
32204,2196,"Grasmere Court, 22-24 Bath Road Keynsham KeynshamBristol, Bath and North East Somerset, South West, BS311SN","Stay2a, 2a, Bouverie Road West, Folkestone, , United Kingdom, Folkestone and Hythe, South East, CT202RX",51.41231,-2.49069,51.4120539,-2.4905089,31.12384116926859,0,0,NO_MATCH,True
33860,33959,"The Darfield Hotel, 54 Charnley Road Blackpool, North West, FY14PF","The Stafford B&B, 97 Albert Road Blackpool, North West, FY14PW",53.81535,-3.04847,53.81599,-3.04888,76.084635332972,0,0,NO_MATCH,True
