orig_indexA,orig_indexB,addressA,addressB,score,Equal
29,8123,"Premier Inn Aberdeen Airport Dyce, Aberdeen Airport Main Terminal Argyll Way Main TerminalAberdeen, Aberdeen City, AB210BN","Premier Inn, Argyll Way, Aberdeen, Aberdeen City, AB210BN",0.716,Yes
36,787,"Britannia Hotel Aberdeen, Malcolm Road Bucksburn BucksburnAberdeen, Aberdeen City, AB219LN","Britannia Hotel, Malcolm Road, Aberdeen, , United Kingdom, Aberdeen City, AB219LN",0.7385,Yes
50,4159,"Aberdeen Marriott Hotel, Overton Circle-Dyce Aberdeen, Aberdeen City, AB217AZ","The Aberdeen Dyce Hotel, Overton Circle, Aberdeen, Aberdeen City, AB217AZ",0.7809,Yes
64,8217,"Mercure Aberdeen Ardoe House Hotel & Spa, South Deeside Rd Blairs Blairs Aberdeen, Aberdeenshire, AB125YP","Ardoe House Hotel, South Deeside Road, Aberdeen, Aberdeenshire, AB125YP",0.7,yes
67,784,"Sure Hotel by Best Western Aberdeen, 20 Summerhill Court AberdeenAberdeenshire, Aberdeen City, AB156TW","Sure Hotel by Best Western Aberdeen, Summerhill Court, Aberdeen, , GB, Aberdeen City, AB156TW",0.6993,Yes
68,4569,"Premier Inn Aberdeen City Centre, Inverlair House West North Street West North StreetAberdeen, Aberdeen City, AB245AS","Premier Inn (Aberdeen City Centre), 10, West North Street, Aberdeen, AB245AS",0.67,Yes
86,5337,"Travelodge Aberdeen Airport, Burnside Dr Off Riverview Dr Training Centre off Riverview DriveDyce Aberdeen, Aberdeen City, AB210HW","Travelodge, Burnside Drive, Aberdeen, Aberdeen City, AB210HW",0.7024,yes
93,10267,"Premier Inn Aberdeen Anderson Drive, North Anderson Drive AberdeenAberdeenshire, Aberdeen City, AB156DW","Premier Inn (Aberdeen Central West), North Anderson Drive, Aberdeen, , GB, Aberdeen City, AB156DW",0.7269,yes
100,10406,"The Craighaar Hotel, Waterton Road Bankhead Bucksburn BankheadAberdeen, Aberdeen City, AB219HS","Craighaar, Waterton Road, Aberdeen, Aberdeen City, AB219HS",0.7258,yes
318,7796,"The Weem Inn, Weem Nr. AberfeldyPerth & Kinross, Perth and Kinross, PH152LD","The Weem Inn, Weem, Perth and Kinross, PH152LD",0.7,yes
608,6963,"Richmond Hotel, The Promenade 44 45 Marine Terrace Aberystwyth, Ceredigion, SY232BX","Richmond Hotel, 44-45, Marine Terrace, Ceredigion, SY232BX",0.68,yes
