orig_indexA,orig_indexB,addressA,addressB,score
20,1161,"The Falcon Inn Retreat, 1 Incline Row Aberdare, Rhondda Cynon Taf, CF446LU","The Falcon, Incline Row, Godreaman, , United Kingdom, Rhondda Cynon Taf, CF446LU",0.8
35,4011,"The Aberdeen Altens Hotel, Souterhead Road Aberdeen, Aberdeen City, AB123LF","Aberdeen Altens Hotel, Souterhead Road, Aberdeen City, AB123LF",0.8282
51,5240,"The Marcliffe Hotel and Spa, North Deeside Road PitfodelsAberdeen, Aberdeen City, AB159YA","Marcliffe, North Deeside Road, Aberdeen, Aberdeen City, AB159YA",0.8
80,10770,"The Chester Hotel, 59 63 Queens Road AberdeenScotland, Aberdeen City, AB154YP","The Chester Hotel, 55-63, Queen's Road, Aberdeen, Aberdeen City, AB154YP",0.85
84,5272,"Travelodge Aberdeen Bucksburn, A96 Inverurie Road Bucksburn Bucksburn Aberdeen, Aberdeen City, AB219BB","Travelodge, Inverurie Road, Aberdeen, Aberdeen City, AB219BB",0.8625
112,5213,"Newmachar Hotel, Oldmeldrum Road Newmachar, Aberdeenshire, AB210QD","Newmachar Hotel, Oldmeldrum Road, , GB, Aberdeenshire, AB210QD",0.8
171,10416,"The Dunavon, 60 Victoria Street Dyce DyceAberdeen, Aberdeen City, AB217EE","Dunavon, 60, Victoria Street, Aberdeen, , GB, Aberdeen City, AB217EE",0.8875
236,9503,"Hilton Aberdeen TECA, East Burn Road Stoneywood, Aberdeen City, AB219FX","Hilton Aberdeen TECA, East Burn Road, Aberdeen, Aberdeen City, AB219FX",0.8992
317,7795,"Ailean Chraggan Hotel Weem AberfeldyPerthshire, Perth and Kinross, PH152LD","Ailean Chraggan Hotel & Restaurant, Weem, Perth and Kinross, PH152LD",0.8
323,1571,"Breadalbane Arms Hotel, Bridgend AberfeldyPerthshire, Perth and Kinross, PH152DF","Breadalbane Arms Hotel, Bridge End, Aberfeldy, , United Kingdom, Perth and Kinross, PH152DF",0.8
715,4895,"Premier Inn Abingdon, Marcham Road AbingdonOxon, Vale of White Horse, South East, OX141AD","Premier Inn, Marcham Road, Vale of White Horse, South East, OX141AD",0.8
733,5230,"Travelodge Cambridge Fourwentways, A11 Fourwentways Abington Cambridge, South Cambridgeshire, East of England, CB216AP","Travelodge, Fourwentways Services, Cambridge, South Cambridgeshire, East of England, CB216AP",0.8023
813,5454,"The Wentworth Hotel, Wentworth Road AldeburghSuffolk, East Suffolk, East of England, IP155BD","Wentworth Hotel, Wentworth Road, East Suffolk, East of England, IP155BD",0.8073
881,9698,"De Trafford By Good Night Inns, Congleton Road Alderley EdgeWilmslowCheshire, Cheshire East, North West, SK97AA","De Trafford Arms Hotel, 2, Congleton Road, Alderley Edge, Cheshire East, North West, SK97AA",0.8
897,2891,"Lomond Park Hotel, Balloch Road Balloch West Dunbartonshire, G838SR","Lomond Park Hotel, Balloch Road, Alexandria, , United Kingdom, West Dunbartonshire, G838SR",0.8
715,4895,"Premier Inn Abingdon, Marcham Road AbingdonOxon, Vale of White Horse, South East, OX141AD","Premier Inn, Marcham Road, Vale of White Horse, South East, OX141AD",0.8
733,5230,"Travelodge Cambridge Fourwentways, A11 Fourwentways Abington Cambridge, South Cambridgeshire, East of England, CB216AP","Travelodge, Fourwentways Services, Cambridge, South Cambridgeshire, East of England, CB216AP",0.8023
813,5454,"The Wentworth Hotel, Wentworth Road AldeburghSuffolk, East Suffolk, East of England, IP155BD","Wentworth Hotel, Wentworth Road, East Suffolk, East of England, IP155BD",0.8073
881,9698,"De Trafford By Good Night Inns, Congleton Road Alderley EdgeWilmslowCheshire, Cheshire East, North West, SK97AA","De Trafford Arms Hotel, 2, Congleton Road, Alderley Edge, Cheshire East, North West, SK97AA",0.8
897,2891,"Lomond Park Hotel, Balloch Road Balloch West Dunbartonshire, G838SR","Lomond Park Hotel, Balloch Road, Alexandria, , United Kingdom, West Dunbartonshire, G838SR",0.8
901,7358,"The Loch Lomond Arms Hotel, Main Road Luss, Argyll and Bute, G838NY","Loch Lomond Arms Hotel, Main Road, Luss, Argyll and Bute, G838NY",0.8293
1067,3254,"Half Moon Hotel And Restaurant, 25 28 West Street AlfordLincolnshire, East Lindsey, East Midlands, LN139DG","The Half Moon Hotel & Restaurant, 25-28, West Street, Alford, , GB, East Lindsey, East Midlands, LN139DG",0.8401
1136,5407,"Nether Grange, Marine Road Alnmouth Alnmouth Alnwick, Northumberland, North East, NE662RZ","HF Holidays Nether Grange, Pease's Lane, Alnwick, , GB, Northumberland, North East, NE662RZ",0.8
1155,5347,"White Swan Hotel, Bondgate Within Alnwick Northumberland, North East, NE661TD","The White Swan Hotel, 16, Bondgate Within, Alnwick, Northumberland, North East, NE661TD",0.8685
1166,5407,"Nether Grange, Marine Road Alnmouth Alnmouth Alnwick, Northumberland, North East, NE662RZ","HF Holidays Nether Grange, Pease's Lane, Alnwick, , GB, Northumberland, North East, NE662RZ",0.8
1316,11361,"Travelodge Alton Four Marks, A31 156 Winchester Road Four Marks Four MarksAltonHampshire, East Hampshire, South East, GU345HZ","Travelodge, 156, Winchester Road, Alton, East Hampshire, South East, GU345HZ",0.8
1319,8656,"The Crown Hotel, High Street AltonHampshire, East Hampshire, South East, GU341BN","The Crown Hotel, High Street, Alton, , GB, East Hampshire, South East, GU341BN",0.8
1723,11027,"Best Western Andover Hotel, Micheldever Road AndoverHampshire, Test Valley, South East, SP116LA","Best Western Andover Hotel, Micheldever Road, Andover, Test Valley, South East, SP116LA",0.8
1724,3781,"The Star And Garter A Citylodge Hotel, High Street, 2 ANDOVER, Test Valley, South East, SP101PB","Star and Garter Hotel, 2, High Street, Andover, , United Kingdom, Test Valley, South East, SP101PB",0.875
1725,7801,"Esseborne Manor, Hurstbourne Tarrant AndoverHampshire, Test Valley, South East, SP110ER","Esseborne Manor Hotel, Andover, Test Valley, South East, SP110ER",0.8
1767,9444,"Balcomie Links Hotel, Balcomie Road Crail CrailFife Scotland, KY103TN","Balcomie Links Hotel, Balcomie Road, Crail, Fife, KY103TN",0.8
1868,8330,"The Pierhouse Hotel, Port Appin Argyll, Argyll and Bute, PA384DE","The Pierhouse, Argyll and Bute, PA384DE",0.8
1946,901,"Grey Gull Inn, Glenburn Road Ardrishaig Argyll, Argyll and Bute, PA308EU","The Grey Gull Hotel, Glenburn Road, Ardrishaig, , United Kingdom, Argyll and Bute, PA308EU",0.8966
2056,8326,"Callow Hall, Mappleton Rd, Ashbourne, Derbyshire ASHBOURNE, Derbyshire Dales, East Midlands, DE62AA","Callow Hall, Mapleton Road, Ashbourne, Derbyshire Dales, East Midlands, DE62AA",0.864
2063,658,"The Boars Head Hotel, Station Road Draycott In The Clay Draycott-in-the-clay Draycott in the Clay Ashbourne, East Staffordshire, West Midlands, DE65GX","Boars Head Hotel, Station Road, Ashbourne, , United Kingdom, East Staffordshire, West Midlands, DE65GX",0.8
2089,5168,"Newton House Apartment, Newton House Buxton Road Newton Grange, Derbyshire Dales, East Midlands, DE61NJ","Newton House, Buxton Road, Ashbourne, , GB, Derbyshire Dales, East Midlands, DE61NJ",0.8
2133,42,"Travelodge Canterbury Chaucer Central, IVY LANE CANTERBURY KENT, 63 CANTERBURY, South East, CT11TU","Travelodge Chaucer Central, 63, Ivy Lane, Canterbury, Kent, , GB, South East, CT11TU",0.8
2134,39,"The Bow Window Inn, HIGH STREET, 50 CANTERBURY, South East, CT31ST","Bay Window Hotel and Restaurant, High Street, Canterbury, , United Kingdom, South East, CT31ST",0.864
2146,5503,"Holiday Inn Express Canterbury, Upper Harbledown Canterbury, South East, CT29HX","Canterbury Holiday Inn Express, Canterbury, South East, CT29HX",0.8929
2402,9407,"Sherbourne House, 8 Norwich Road AttleboroughNorfolk, Breckland, East of England, NR172JX","Sherbourne House Hotel, 8, Norwich Road, Breckland, East of England, NR172JX",0.8636
2454,11129,"Coylumbridge Hotel, Coylumbridge Aviemore, Highland, PH221QN","Coylumbridge Aviemore Hotel, Coylumbridge, Aviemore, Highland, PH221QN",0.8
2609,7779,"Mercure Ayr Hotel, Dalblair Rd Ayr, South Ayrshire, KA71UG","Mercure Ayr, Dalblair Road, Ayr, South Ayrshire, KA71UG",0.875
2628,7774,"Travelodge Ayr, Highfield Drive Ayr, South Ayrshire, KA89SH","Travelodge, Highfield Drive, Ayr, South Ayrshire, KA89SH",0.8628
2630,1088,"Chalmers Guest House, 34 CARRICK ROAD AYR, South Ayrshire, KA72RB","Carrick Lodge, 46, Carrick Road, Ayr, , United Kingdom, South Ayrshire, KA72RB",0.8363
2638,1083,"The Ayrshire and Galloway, 1 Killoch Place AyrAyrshire, South Ayrshire, KA72EA","Ayrshire & Galloway Hotel, 1, Killoch Place, Ayr, , United Kingdom, South Ayrshire, KA72EA",0.8053
2736,4996,"The Monsal Head Hotel, Monsal Head BakewellDerbyshire, Derbyshire Dales, East Midlands, DE451NL","Monsal Head Hotel, Bakewell, Derbyshire Dales, East Midlands, DE451NL",0.8
3022,1545,"The Romany Inn, Bridge Street BAMPTON, West Oxfordshire, South East, OX182HA","Fleur De Lys, Bridge Street, Bampton, , United Kingdom, West Oxfordshire, South East, OX182HA",0.8
3120,4805,"Banff Springs Hotel, Golden Knowes Road Banff Scotland, Aberdeenshire, AB452JE","Banff Springs Hotel, Golden Knowes Road, Aberdeenshire, , GB, AB452JE",0.8
3126,9948,"The Boyne Hotel, 2 North High Street Portsoy, Aberdeenshire, AB452PA","The Boyne Hotel, 2, North High Street, Aberdeenshire, AB452PA",0.8125
3329,11200,"Barnham Broom Hotel Golf & Spa, Honingham Road Barnham Broom Barnham Broom NorwichNorfolk, South Norfolk, East of England, NR94DD","Barnham Broom Hotel & Country Club, Honingham Road, Norwich, , GB, South Norfolk, East of England, NR94DD",0.8452
3351,9058,"The Hunters Inn, Heddon Valley Parracombe ExmoorNorth Devon, South West, EX314PY","Hunter's Inn, Barnstaple, North Devon, South West, EX314PY",0.8
3468,4802,"Tadross Hotel, 271 Holton Rd Barry, Vale of Glamorgan, CF634HT","Tadross Hotel, 271, Holton Road, Vale of Glamorgan, CF634HT",0.87
3588,7899,"Abbey Hotel Bw Signature Collection By Best Western, North Parade BathSomerset, Bath and North East Somerset, South West, BA11LF","The Abbey Hotel, 1, North Parade Buildings, Bath and North East Somerset, South West, BA11LF",0.8
3596,9337,"Henrietta House, 33 Henrietta Street Bath, Bath and North East Somerset, South West, BA26LR","Henrietta House, 27-29, Henrietta Street, , GB, Bath and North East Somerset, South West, BA26LR",0.8
3649,6307,"The Old Mill Hotel, Toll Bridge Road Batheaston BatheastonBath, Bath and North East Somerset, South West, BA17DE","The Old Mill Hotel, Toll Bridge Road, Bath and North East Somerset, South West, BA17DE",0.8
3665,8265,"The Halcyon, SOUTH PARADE, 2-3 BATH, Bath and North East Somerset, South West, BA24AA","Hotel Indigo, 2-8, South Parade, Bath, , GB, Bath and North East Somerset, South West, BA24AA",0.8571
3699,4043,"Number 17 Bath, 17 Pulteney Road Bath, Bath and North East Somerset, South West, BA24EZ","The Bird Hotel, 18-19, Pulteney Road, Bath and North East Somerset, South West, BA24EZ",0.8
3719,8682,"Apex City of Bath Hotel, 1 James Street West Bath, Bath and North East Somerset, South West, BA12DA","Apex City of Bath Hotel, James Street West, Bath, Bath and North East Somerset, South West, BA12DA",0.8077
3758,4183,"Eight, 3 North Parade Passage Bath, Bath and North East Somerset, South West, BA11NX","eight, 3, North Parade Passage, Bath and North East Somerset, South West, BA11NX",0.825
3901,7020,"Kaim Park Hotel, EDINBURGH ROAD, 17 BATHGATE, WEST LOTHIAN, EH481EP","Kaim Park Hotel, Edinburgh Road, Bathgate, West Lothian, EH481EP",0.871
3905,4758,"Premier Inn Livingston, Starlaw Road LIVINGSTON, West Lothian, EH481LQ","Premier Inn Bathgate, Starlaw Road, Bathgate, West Lothian, EH481LQ",0.8
4034,5751,"Castle Court, Castle Square Beaumaris, Isle of Anglesey, LL588DA","Castle Court, Beaumaris, Isle of Anglesey, LL588DA",0.816
4066,10045,"Waveney House Hotel, Puddingmoor BecclesSuffolk, East Suffolk, East of England, NR349PL","Waveney House Hotel, Puddingmoor, Beccles, East Suffolk, East of England, NR349PL",0.8
4212,6752,"Burnhouse Manor Hotel, Barmill Road Burnhouse  Ayrshire, North Ayrshire, KA151LJ","Burnhouse Manor Hotel, Barrmill Road, Burnhouse, North Ayrshire, KA151LJ",0.8324
4253,8521,"Ibis Belfast City Centre, 100 Castle Street Nothern Ireland Belfast, BT11HF","Ibis, 100, Castle Street, Belfast, BT11HF",0.8857
4262,3097,"Premier Inn Belfast City Centre, Alfred Street Belfast Northern Ireland, BT28ED","Premier Inn, Alfred Street, Belfast, , United Kingdom, BT28ED",0.8963
4586,11159,"Dark Island, Liniclate Isle of BenbeculaOuter Hebrides, Na h-Eileanan Siar, HS75PJ","Dark Island Hotel, Isle of Benbecula, , GB, Na h-Eileanan Siar, HS75PJ",0.8
4608,951,"The Kings Arms Hotel, 43 Hide Hill Berwick-upon-Tweed Northumberland, North East, TD151EJ","Kings Arms Hotel, 43, Hide Hill, Berwick Upon Tweed, Northumberland, , United Kingdom, North East, TD151EJ",0.8714
4862,8431,"Bexleyheath Marriott Hotel, 1 Broadway BexleyheathEngland, London, DA67JZ","Bexleyheath Marriott Hotel, 1, Broadway, Bexleyheath, Kent, , GB, London, DA67JZ",0.8371
4872,10772,"Almond Tree Hotel, 1 Murdock Road BicesterOxon, Cherwell, South East, OX264PP","Almond Tree Hotel, Murdock Road, Bicester, Cherwell, South East, OX264PP",0.8
5113,11228,"Holiday Inn Birmingham Airport, Coventry Rd  Birmingham, Solihull, West Midlands, B263QW","Holiday Inn, Coventry Road, Solihull, , GB, West Midlands, B263QW",0.875
5116,1654,"Castle Bromwich Hall Hotel, Chester Road Birmingham, Solihull, West Midlands, B369DE","Castle Bromwich Hall Hotel, Chester Road, Solihull, , United Kingdom, West Midlands, B369DE",0.8
5119,3822,"Hilton Garden Inn Birmingham Brindley Place, 1 Brunswick Square Brindleyplace Birmingham, West Midlands, B12HW","Hilton Garden Inn Birmingham Brindleyplace, 1, Brunswick Square, Birmingham, West Midlands, B12HW",0.8395
5137,7387,"Holiday Inn Birmingham M6 J7, Chapel Lane Great Barr Great BarrBirmingham, Sandwell, West Midlands, B437BG","Holiday Inn, Chapel Lane, Birmingham, Sandwell, West Midlands, B437BG",0.8755
5147,4461,"Best Western Plough & Harrow Hotel, 135 Hagley Road The Plough & Harrow/135 EdgbastonBirmingham, West Midlands, B168LS","The Plough And Harrow, 135, Hagley Road, Birmingham, , GB, West Midlands, B168LS",0.8
5149,4557,"Novotel Wolverhampton, Union Street Wolverhampton, West Midlands, WV13JN","Novotel Wolverhampton, Union Street, Wolverhampton, West Midlands, WV13JN",0.8852
5175,4515,"Cobden Hotel Birmingham, 166 Hagley Rd Birmingham, West Midlands, B169NZ","Cobden Hotel, 166-174, Hagley Road, Birmingham, , GB, West Midlands, B169NZ",0.8653
5199,5478,"Travelodge Birmingham Central Moor Street, Carrs Lane Birmingham, West Midlands, B47SS","Travelodge Birmingham Central Moor Street, Carrs Lane, Birmingham, West Midlands, B47SS",0.8821
5206,7130,"Quality Hotel Wolverhampton, Tettenhall Road 60 Wolverhampton, West Midlands, WV14SW","Quality Hotel, 40-50, Tettenhall Road, Wolverhampton, West Midlands, WV14SW",0.8727
5233,11189,"The Arden Hotel & Leisure Club, Coventry Road, Bickenhill BickenhillSolihull, West Midlands, B920EH","Arden Hotel, Coventry Road, Birmingham, , GB, Solihull, West Midlands, B920EH",0.8
5257,5138,"Metro Inns Walsall, Birmingham Rd Walsall, West Midlands, WS53AB","Metro Inns Walsall, Birmingham Road, Walsall, West Midlands, WS53AB",0.8786
5260,4422,"Radisson Blu Hotel Birmingham, 12 Holloway Circus QueenswayBirmingham, West Midlands, B11BT","Radisson Blu hotel, 12, Holloway Circus Queensway, Birmingham, West Midlands, B11BT",0.825
5272,5509,"Best Western Plus Windmill Village Hotel, Birmingham Road Allesley Allesley Coventry, West Midlands, CV59AL","Windmill Village Hotel, Birmingham Road, Coventry, West Midlands, CV59AL",0.8557
5281,8583,"ibis Birmingham International Airport NEC, Ambassador Road Bickenhill, Solihull BIRMINGHAM, West Midlands, B263AW","Ibis Budget, Ambassador Road, Birmingham, Solihull, West Midlands, B263AW",0.8
5300,7756,"The Jacobean Hotel, Holyhead Road Coventry, West Midlands, CV58HX","The Jacobean, Holyhead Road, Coventry, West Midlands, CV58HX",0.8745
5345,6658,"Strawberry Bank Hotel, Main Rd Meriden MeridenCoventryWest Midlands, Solihull, CV77NF","Strawberry Bank Hotel & Restaurant, 72, Main Road, Meriden, , GB, Solihull, West Midlands, CV77NF",0.8625
5352,4501,"Lucas House Hotel, 48 Edgbaston Park Road Lucas House Reception48 Edgbaston Park RoadEdgbaston, Birmingham, West Midlands, B152RA","Lucas House, Edgbaston Park Road, Birmingham, West Midlands, B152RA",0.8269
5358,11198,"Forest Hotel, Station Approach DorridgeSolihull, West Midlands, B938JA","The Forest Hotel, Station Approach, Solihull, West Midlands, B938JA",0.8
5427,8065,"The Castle Hotel, Market Square Shropshire, West Midlands, SY95BN","Castle Hotel, Market Square, Bishop's Castle, Shropshire, West Midlands, SY95BN",0.8
5517,5504,"Forshaws Hotel, Sure Hotel Collection by Best Western, Blackpool, Talbot Square Blackpool, FY11ND","Forshaws Hotel, Talbot Square, Blackpool, FY11ND",0.8938
5579,2308,"The Pilatus Guest house, Willshaw Road, 10 BLACKPOOL, North West, FY29SH","The Pilatus, 10, Willshaw Road, Blackpool, , United Kingdom, North West, FY29SH",0.869
5654,2327,"Number 42, King Edward Ave Blackpool, North West, FY29TA","King Edward Hotel, 44, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0.8727
5654,2328,"Number 42, King Edward Ave Blackpool, North West, FY29TA","Number 42, 42, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0.8727
5675,2294,"The Grosvenor View Guest house, King Edward Avenue, 7 BLACKPOOL, North West, FY29TD","Grosvenor View, 7, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0.8842
5686,2293,"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","The Alpha, 9, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0.8842
5744,2304,"The Sefton Hotel, Northumberland Avenue, 16 BLACKPOOL, North West, FY29SB","Sefton Hotel, 16, Northumberland Avenue, Blackpool, , United Kingdom, North West, FY29SB",0.88
5797,2494,"St Albans Hotel Guest House, 355 Promenade South Shore Blackpool Lancashire, North West, FY16BJ","St Albans, 355, Promenade, Blackpool, , United Kingdom, North West, FY16BJ",0.88
5820,3637,"The New Guilderoy Hotel, 59 Holmfield Rd North Shore Blackpool North Shore, North West, FY29RU","New Guilderoy Hotel, 59, Holmfield Road, Blackpool, , United Kingdom, North West, FY29RU",0.8769
6103,2377,"New Odyssey Hotel, 4 6 Burlington Road Blackpool, North West, FY41NL","New Odyssey Hotel, 4, Burlington Road West, Blackpool, , United Kingdom, North West, FY41NL",0.8571
6207,2444,"The Kings Cross Hotel, 44 Charnley Rd Blackpool, North West, FY14PF","Kingsway Hotel, 68, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.852
6274,2476,"The Vernon, 6-8 Wellington Road Blackpool, North West, FY16AR","The Vernon, Wellington Road, Blackpool, , United Kingdom, North West, FY16AR",0.8689
6283,10831,"Adelaide Lodge, 100 Adelaide Street Blackpool, North West, FY14LA","Adelaide House Hotel, 66-68, Adelaide Street, Blackpool, North West, FY14LA",0.8127
6293,2542,"HY Hotel BW Premier Collection, 318-328 Clifton Dr N Lytham Saint Annes, Fylde, North West, FY82PB","HY Hotel, 318-328, Clifton Drive North, Lytham St Annes, , United Kingdom, Fylde, North West, FY82PB",0.8053
6586,10515,"The Seaview Hotel, Seaview Road Boddam, Aberdeenshire, AB423NS","Seaview Hotel, Seaview Road, Boddam, , GB, Aberdeenshire, AB423NS",0.8
6755,8903,"Britannia Hotel Bolton, Beaumont Road Bolton, North West, BL34TA","Britannia Hotel, Beaumont Road, Bolton, North West, BL34TA",0.8438
6801,6245,"ibis London Elstree Borehamwood, Elstree Way BorehamwoodLondon, Hertsmere, East of England, WD61JY","Ibis, Elstree Way, Borehamwood, Hertsmere, East of England, WD61JY",0.8
6802,5577,"Travelodge Borehamwood Hotel, Elstree Way Borehamwood BorehamwoodLondon, Hertsmere, East of England, WD61SD","Travelodge, Elstree Way, Borehamwood, Hertsmere, East of England, WD61SD",0.8
6818,8644,"Borrowdale Gates Hotel, Grange-in-Borrowdale KeswickCumbria, Cumberland, North West, CA125UQ","Borrowdale Gates Hotel, Grange, Cumberland, North West, CA125UQ",0.899
6949,6116,"The New England Hotel, Wide Bargate Boston, East Midlands, PE216SH","The New England Hotel, 49, Wide Bargate, Boston, , GB, East Midlands, PE216SH",0.8211
7363,6970,"Premier Inn Silverstone, Brackley Hatch Syresham Brackley, West Northamptonshire, East Midlands, NN135TX","Premier Inn Silverstone Hotel, Brackley, , GB, West Northamptonshire, East Midlands, NN135TX",0.8
7372,3272,"Hilton Bracknell, Bagshot Road  Bracknell, Bracknell Forest, South East, RG120QJ","Village Hotel Bracknell, Bagshot Road, Bracknell, , GB, Bracknell Forest, South East, RG120QJ",0.8681
7383,9040,"The Admiral Cunningham Hotel, Priestwood Court Road BracknellBerkshire, Bracknell Forest, South East, RG421TU","The Admiral Cunningham, Priestwood Court Road, Bracknell, Bracknell Forest, South East, RG421TU",0.8066
7521,7647,"Farlam Hall Country House Hotel, Hallbankgate Cumbria, Cumberland, North West, CA82NG","Farlam Hall, Brampton, Cumberland, North West, CA82NG",0.8
7568,6102,"The Great Eastern Hotel, High Street Suffolk  Brandon, West Suffolk, East of England, IP270AX","Great Eastern Hotel, High Street, Brandon, West Suffolk, East of England, IP270AX",0.8571
7776,6690,"Holiday Inn Brentwood M25 Jct. 28, Brook Street Brentwood, East of England, CM145NF","Holiday Inn, Brook Street, Brentwood, East of England, CM145NF",0.8511
7909,5270,"The Tudor Hotel & Restaurant, 21 St Mary's Street Bridgwater, Somerset, South West, TA63LX","The Tudor Hotel & Restaurant, 21-25, St Mary Street, Bridgwater, Somerset, , GB, South West, TA63LX",0.88
7910,9757,"Holiday Inn Express Bridgwater M5, Market Way, Bridgwater, , United Kingdom, Somerset, South West, TA66DF","Holiday Inn Express, Market Way, Bridgwater, Somerset, , GB, South West, TA66DF",0.8609
