Name,lat,lon,address,phone,URLs,description
,50.9903312,-0.8261527,"Dumpford Lane, Chichester, GU31 5JN, United Kingdom",,,
,50.6819842,-1.0738841,"32, Forelands Field Road, Bembridge, Isle Of Wight, PO35 5TR, GB",,,
,52.1349288,-0.4655978,"1, High Street, Bedford, MK40 1RW, GB",,,
,52.5395258,-1.2503411,"Coventry Road, Leicester, LE9 6QD, GB",,,
,51.9884345,-0.6187592,"1, George Street, Woburn, MK17 9PX, GB",+44 1525 290 441,,
,52.215869,0.2074409,"A14, South Cambridgeshire, CB5 8TF, United Kingdom",,,
,51.8540993,-1.5994832,"High Street, Shipton Under Wychwood, OX7 6DQ, United Kingdom",+44 1993 832116,,
,52.5939681,-0.6450338,"Glaston Road, Oakham, LE15 9DL, GB",,,
,51.7905597,-1.4812502,"Bridge Street, West Oxfordshire, OX28 1DA, United Kingdom",,,
,51.2852773,-0.9055833,"Station Road, Winchfield, Hook, RG27 8BX, United Kingdom",,,
,53.2847402,-2.9639051,"Welsh Road, Chester, CH66 4YY, United Kingdom",,,
,53.4106995,-2.9964996,"Old Hall Street, Liverpool, L3 9PY, United Kingdom",,,
,51.7153364,-1.2063054,"Grenoble Road, Oxford, OX4 4XP, United Kingdom",+44 1865 780888,,
,51.7165403,-2.4724013,"34, Oldminster Road, Stroud, GL13 9NA, United Kingdom",,,
,51.75337,-0.3495819,"Fishpool Street, St Albans, AL3 4RU, United Kingdom",,,
,55.9237565,-5.1505374,"A886, Colintraive, PA22 3AR, United Kingdom",,,
,52.1877505,0.1372393,"167-169, Hills Road, Cambridge, CB2 8RJ, United Kingdom",,,
,51.7707264,-2.3244729,"Bristol Road, Gloucester, GL2 7NY, United Kingdom",,,
,51.8786512,0.951788,"Park Road, Colchester, CO4 3SG, United Kingdom",,,
,52.1037066,-0.952144,"100-102, High Street, Towcester, NN12 7NA, GB",,,
,51.1572466,0.8807886,"Canterbury Road, Ashford, TN24 8QQ, GB",,,
,51.1609662,0.8709667,"Rutherford Road, Ashford, TN25 4BN, United Kingdom",,,
,53.9628524,-1.0775982,"St. Maurice's Road, York, YO31 7JA, GB",+44 1904 638086,,
,51.9226732,-1.3243297,"B4030, Cherwell, OX25 4RZ, United Kingdom",,,
,53.9563897,-1.0805899,"1, Tower Street, York, YO1 9WD, GB",+44 1904 648111,,
,53.9640967,-1.0762061,"39, Monkgate, York, YO31 7PB, United Kingdom",,,
,51.7592615,-0.1024661,"Ashendene Road, East Hertfordshire, SG13 8PX, United Kingdom",,,
,53.9567247,-1.0843204,"Queen Staith Road, York, YO1 6DH, United Kingdom",,,
,53.9573256,-1.07698,"24, Walmgate, York, YO1 9TJ, United Kingdom",,,
,53.8906053,-1.6786386,"York Gate, Otley, LS21 3NU, GB",,,
,53.9152067,-1.7976395,"Hangingstone Road, Ilkley, LS29 8BT, GB",,,
,53.961799,-2.0102334,"Otley Road, Skipton, BD23 1ES, United Kingdom",,,
,51.3690176,-0.6887071,"London Road, Surrey Heath, GU19 5HR, United Kingdom",,,
,51.5158749,0.3779297,"Prince Charles Avenue, Orsett, RM16 3HS, United Kingdom",+44 1375 891402,,
,52.9561816,1.0193447,"The Quay, North Norfolk, NR25 7ND, United Kingdom",,,
,51.2741221,-0.755926,"Farnborough Road, Rushmoor, GU14 6FS, United Kingdom",,,
,51.4170299,0.0372264,"Willoughby Lane, London, BR1 3ND, United Kingdom",,,
,51.8074821,-1.1388791,"Horton Hill, Cherwell, OX33 1AS, United Kingdom",,,
,52.2275143,-0.7424344,"Compton Road, Northampton, NN7 1LF, GB",,,
,51.273485,1.1649548,"High Street, Canterbury, CT3 1ST, United Kingdom",,,
,52.402825,0.2703878,"50, New Barns Road, Ely, CB7 4PW, United Kingdom",,,
,53.7835296,-2.2304307,"Tarleton Avenue, Burnley, BB11 3ET, United Kingdom",,,
,51.2769373,1.0852636,"63, Ivy Lane, Canterbury, Kent, CT1 1TU, GB",,,
,53.3478328,-2.8654829,"1, Speke Hall Avenue, Liverpool, L24 1UX, United Kingdom",,,
,51.6582927,-0.3576082,"Little Bushey Lane, Hertsmere, WD23 3TP, United Kingdom",,,
,52.0742633,-3.1225232,"26, Lion Street, Hay on Wye, HR3 5AD, United Kingdom",+441497820841,,
,50.828685,-0.7858041,"Terminus Road, Chichester, West Sussex, PO19 8EL, GB",+44 871 5278242,,
,57.4474109,-2.786906,"Gordon Street, Huntly, AB54 8EQ, United Kingdom",,,
,53.4296992,-3.0639038,"45, Grove Road, Wallasey, CH45 3HF, United Kingdom",,,
,51.514571,-0.1566381,"4, Bryanston Street, London, W1H 7BY, United Kingdom",+44 20 7935 2361,,
,54.4313791,-2.9621712,"Market Place, Ambleside, LA22 9DB, United Kingdom",,,
,54.0720455,-1.9989645,"8, Wood Lane, Skipton, BD23 5LU, GB",,,
,54.0440122,-1.9533671,"B6160, Burnsall, BD23 6BS, United Kingdom",,,
,54.0719554,-1.9973771,"5, The Square, Skipton, BD23 5AQ, GB",+44 1756 752406,,
,54.0727004,-1.9971972,"20, Main Street, Skipton, BD23 5AA, GB",+44 1746 752349,,
,54.0723544,-1.9977187,"27, Main Street, Skipton, BD23 5AD, GB",+44 1756 752525,,
,51.8479351,-1.3545616,"19, Market Street, Woodstock, OX20 1SU, United Kingdom",,,
,51.8474524,-1.3564634,"Park Street, Woodstock, OX20 1SZ, United Kingdom",,,
,51.8476784,-1.3549408,"16-20, Market Street, Woodstock, OX20 1SX, United Kingdom",,,
,52.0853192,0.0128904,"39, Station Road, Royston, SG8 6DX, GB",,,
,50.705877,-1.5127843,"Halletts Shute, Yarmouth, PO41 0SD, GB",,,
,51.8473595,-1.3559384,"7, Market Place, Woodstock, OX20 1SY, United Kingdom",+44 (0)1993 813660;+44 (0)1865 811950,,
,51.8475889,-1.3538046,"26, Oxford Street, Woodstock, OX20 1TS, United Kingdom",,,
,50.8547155,-0.5539446,"22, High Street, Arundel, BN18 9AB, United Kingdom",,,
,52.0898854,0.1554363,"Ickleton Road, South Cambridgeshire, CB22 4RT, GB",,,
,53.1157914,-2.9441028,"Llyndir Lane, Rossett, LL12 0DH, United Kingdom",,,
,51.2302987,-3.8308607,"Lynmouth Street, North Devon, EX35 6EL, United Kingdom",,,
,55.9381557,-3.2059285,"69-74, Bruntsfield Place, Edinburgh, EH10 4HH, United Kingdom",,,
,55.9170545,-3.2126453,"134, Braid Road, Edinburgh, EH10 6JB, United Kingdom",,,
,52.9200421,-4.2340876,"Y Maes, Criccieth, LL52 0AA, United Kingdom",,,
,53.7804533,-0.5214344,"Rowley Road, Little Weighton, HU20 3XX, United Kingdom",+44 1482 848248,,
,52.0769097,0.4663567,"Coupals Road, Braintree, CB9 7UW, United Kingdom",,,
,51.0163158,-4.2050834,"Lower Meddon Street, Torridge, EX39 2BN, United Kingdom",,,
,51.0029908,-1.0025849,"Petersfield, GU32 1RN, United Kingdom",,,
,51.4919882,-0.1420048,"36-40, Belgrave Road, London, SW1V 1RG, United Kingdom",,,
,52.5483448,-0.3233621,"East Of England Way, Peterborough, PE2 6HE, United Kingdom",,,
,51.5392971,-2.5238261,"Old Gloucester Road, Bristol, BS36 1RP, United Kingdom",,,
,51.0699791,-1.3166787,"Worthy Lane, Winchester, SO23 7AB, United Kingdom",,,
,51.5042087,-3.1256168,"Wentloog Road, Cardiff, CF3 3EB, GB",,,
,52.9374896,1.249169,"Cromer Road, North Norfolk, NR27 9QL, United Kingdom",,,
,52.9452232,1.2120149,"2, High Street, Sheringham, NR26 8JR, United Kingdom",+44 1263 823144,,
,51.247416,-0.5834497,"1-2, Woodbridge Meadows, Guildford, GU1 1BA, GB",,,
,50.7911618,-1.1021324,"119, High Street, Portsmouth, PO1 2HW, GB",+44 23 9282 7067,,
,50.8512165,-0.9799153,"East Street, Havant, PO9 1AE, United Kingdom",,,
,54.2471724,-0.7838153,"19, Middleton Road, Pickering, YO18 8AL, United Kingdom",,,
,52.3580143,-0.2140066,"Ermine Street, Huntingdonshire, PE28 4AH, United Kingdom",,,
,53.3988997,-2.9930873,"Britannia Pavilion, Liverpool, L3 4AD, United Kingdom",,,
,53.3992542,-2.9916295,"Britannia Pavilion, Liverpool, L3 4AD, United Kingdom",,,
,53.3953151,-2.9847774,"Chaloner Street, Liverpool, L3 4AJ, United Kingdom",,,
,53.4074661,-2.9951992,"Chapel Street, Liverpool, L3 9RE, United Kingdom",+44-151-227-4444,,
,54.3691708,-0.5060555,"Scarborough, YO13 0DY, United Kingdom",+441723870717,,
,51.799166,-1.5402002,"Wash Meadow, West Oxfordshire, OX29 0RW, United Kingdom",,,
,52.3417419,1.0031149,"The Street, Diss, IP22 1BN, United Kingdom",,,
,54.0917251,-0.1784624,"North Marine Drive, Bridlington, YO15 2LS, United Kingdom",,,
,52.4204993,-4.0844013,"3, Rhodfa Fuddug / Victoria Terrace, Aberystwyth, SY23 2DH, United Kingdom",,,
,54.0864495,-0.1860791,"1, Tennyson Avenue, Bridlington, YO15 2EU, United Kingdom",,,
,55.97588,-3.6078445,"High Street, Linlithgow, EH49 7EP, United Kingdom",,,
,53.7653227,-2.641758,"Preston New Road, South Ribble, PR5 0UJ, United Kingdom",,,
,51.9938869,-4.9765684,"West Street, Fishguard, SA65 9AE, United Kingdom",,,
,51.0622718,-1.3175462,"Southgate Street, Winchester, SO23 9EF, United Kingdom",,,
,52.9046176,-0.9294229,"Church Lane, Nottingham, NG13 9HG, GB",,,
,51.3572355,-1.1372051,"Silchester Road, Basingstoke and Deane, RG26 3PZ, United Kingdom",,,
,51.1200176,-0.1375006,"M23, Crawley, RH10 7XY, United Kingdom",,,
,51.186368,-0.1630307,"Bonehurst Road, Reigate and Banstead, RH6 8QQ, United Kingdom",,,
,54.244123,-0.7754738,"Malton Road, Pickering, YO18 7DL, United Kingdom",,,
,54.2436811,-0.7748568,"Eastgate, Pickering, YO18 7DW, United Kingdom",,,
,53.7600704,-0.3497121,"Pearson Avenue, Hull, HU5 2SX, United Kingdom",,,
,53.3897807,-2.9302644,"Ullet Road, Liverpool, L17 1AW, United Kingdom",,,
,52.39408,-0.0296772,"Fenn Road, Huntingdon, PE28 3DF, GB",,,
,53.418497,-3.1080131,"Leasowe Road, Leasowe, CH46 3RF, United Kingdom",,,
,51.2594858,-2.5303828,"B3139, Binegar, BA3 4SN, United Kingdom",,,
,53.3430801,-1.7755864,"Cross Street, High Peak, S33 8WH, United Kingdom",,,
,55.8608148,-4.0218983,"138, Main Street, Coatbridge, ML5 3BJ, United Kingdom",,,
,53.0255986,-1.5429693,"White Lane, Belper, DE56 2EB, United Kingdom",,,
,52.2651497,0.3742947,"15, Church Street, Exning, CB8 7EH, United Kingdom",+44 1638 577312,,
,55.5240303,-3.7851486,"B7078, Abington, ML12 6SX, United Kingdom",,,
,53.453927,-2.0261364,"Mottram Road, Tameside, SK14 3JH, United Kingdom",,,
,51.8383509,-3.085685,"Brecon Road, Abergavenny, NP7 7ER, United Kingdom",,,
,52.2490837,0.4086827,"Fordham Road, Newmarket, CB8 7AA, United Kingdom",,,
,52.2510362,0.4147257,"11, Bury Road, Newmarket, CB8 7BX, United Kingdom",,,
,51.209994,-2.6463257,"20, Sadler Street, Wells, BA5 2RR, United Kingdom",,,
,51.209624,-2.6463826,"11, Sadler Street, Wells, BA5 2RX, United Kingdom",,,
,55.9505742,-3.2223415,"69, Belford Road, Edinburgh, EH4 3DG, United Kingdom",,,
,54.4356504,-0.7663863,"Stepping Stones, Whitby, YO21 1XE, United Kingdom",,,
,54.0985998,-0.4627654,"Mill Lane, Driffield, YO25 3BQ, United Kingdom",,,
,54.3100839,-1.8293676,"28, Market Place, Leyburn, DL8 5AS, United Kingdom",,,
,55.9500405,-3.1873006,"82, High Street, Edinburgh, EH1 1LL, United Kingdom",,,
,53.8001233,-1.5468081,"The Headrow, Leeds, LS1 8TL, United Kingdom",,,
,53.6475214,-3.0075019,"Lord Street, Southport, PR8 1PE, United Kingdom",,,
,51.6247677,-3.9412041,"Ivey Place, Swansea, SA1 1NX, United Kingdom",,,
,53.7942234,-1.5424975,"1, Swinegate, Leeds, LS1 4AG, United Kingdom",,,
,51.8344212,-2.1885495,"Bondend Road, Gloucester, GL4 8ED, GB",,,
