indexA,addressA,indexB,addressB,score
20002,"Kip in the Kirk, 11 Stirling Road Drymen, G630BW",2111,"The Drymen Inn, 5, Stirling Road, Drymen, , United Kingdom, G630BN",0.5685
20002,"Kip in the Kirk, 11 Stirling Road Drymen, G630BW",2161,"Elmbank Self Catering B&B, 10, Stirling Road, Drymen, , United Kingdom, G630BN",0.555
20009,"Village Hotel Birmingham Dudley, Castlegate Park Birmingham Rd Castlegate ParkDudley, West Midlands, DY14TB",9365,"Village Hotel, Castlegate Drive, Dudley, West Midlands, DY14TB",0.5828
20026,"Highland Spirit Bed & Breakfast, 51 Fife Street Dufftown, Moray, AB554AP",2152,"Tannochbrae, 22, Fife Street, Dufftown, , United Kingdom, Moray, AB554AL",0.5
20083,"Travelodge Dumfries, A75 Annan Road  Collin Dumfries & Galloway CollinDumfries Dumfries & Galloway, Dumfries and Galloway, DG13SE",10113,"Travelodge, Annan Road, Dumfries, Dumfries and Galloway, DG13SE",0.5822
20099,"Glenlossie Guest House, 75 Annan Road Dumfries, Dumfries and Galloway, DG13EG",10918,"Caledonian Hotel, 67, Annan Road",0.5
20117,"The Bothy Dumfries, The Bothy Southerness, Dumfries and Galloway, DG28AZ",931,"Paul Jones Hotel, C22n, , United Kingdom, Dumfries and Galloway, DG28BB",0.5
20122,"Spindrift Dumfries, Spindrift Southerness, Dumfries and Galloway, DG28AZ",931,"Paul Jones Hotel, C22n, , United Kingdom, Dumfries and Galloway, DG28BB",0.5
20140,"Dunmuir Hotel, Newhouse Terrace Queens Road 11  Dunbar Queens RoadDunbar, East Lothian, EH421LG",2187,"Dunmuir Hotel, 11, Newhouse Terrace, Dunbar, , United Kingdom, East Lothian, EH421LG",0.5839
20164,"Alcorn Guest House, 5 Hyndford Street DundeeDundee City, DD21HQ",10002,"Shaftesbury Lodge, Hyndford Street, Dundee, Dundee City, DD21HQ",0.5
20196,"Hampton by Hilton Dundee City Centre, 1 Argyllgait Dundee, Dundee City, DD11PZ",2624,"Hampton by Hilton Dundee City Centre, 1, Argyllgait, Dundee, , United Kingdom, DD11PZ",0.5
20311,"Birnam Hotel, Perth Road Birnam BirnamDunkeldPerthshire, Perth and Kinross, PH80AA",1564,"Birnam Hotel, Perth Road, Birnam, , United Kingdom, Perth and Kinross, PH80AA",0.5
20314,"Atholl Arms Hotel Dunkeld, Bridgehead Tay Terrace DunkeldPerthshire, Perth and Kinross, PH80AQ",1563,"Atholl Arms Hotel, Tay Terrace, Dunkeld, , United Kingdom, Perth and Kinross, PH80AQ",0.5
20333,"The Esplanade Hotel, West Bay Dunoon Dunoon, Argyll and Bute, PA237HU",3302,"St Ives Boutique Hotel, 58 Victoria Parade, 58, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",0.5875
20334,"The St Ives, West Bay DunoonArgyll, Argyll and Bute, PA237HU",3302,"St Ives Boutique Hotel, 58 Victoria Parade, 58, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",0.5
20334,"The St Ives, West Bay DunoonArgyll, Argyll and Bute, PA237HU",3303,"Milton Tower Hotel, 62, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",0.5
20388,"Duns Apartment Rooms, 10 Market Square Duns Scotland, TD113ED",1435,"White Swan, 31-34, Market Square, Duns, , United Kingdom, Scottish Borders, TD113AL",0.5346
20409,"Highwayman Hotel, London Rd DunstableBedfordshire, Central Bedfordshire, East of England, LU63DX",6894,"The Highwayman Hotel, London Road, Dunstable, , GB, Central Bedfordshire, East of England, LU63DX",0.5941
20417,"The Luttrell Arms, 32, High Street Dunster SomersetExmoor National Park, South West, TA246SG",1757,"The Dunster Castle Hotel, 5, High Street, Minehead, Somerset, , GB, South West, TA246SF",0.5
20419,"Yarn Market Hotel, 25 33 High Street Dunster DunsterExmoor, Somerset, South West, TA246SF",1757,"The Dunster Castle Hotel, 5, High Street, Minehead, Somerset, , GB, South West, TA246SF",0.5558
20440,"The Tables Guest House, Main Street Dunvegan Dunvegan Isle Of SkyeHighlands And Islands, IV558WA",1029,"Dunvegan Hotel, A863, Dunvegan, , United Kingdom, Highland, IV558WA",0.5
20447,"Dunvegan Castle Rose Valley Cottage, Isle Of Skye, Highland, IV558WF",1029,"Dunvegan Hotel, A863, Dunvegan, , United Kingdom, Highland, IV558WA",0.5
20450,"Bowes Incline Hotel, Northside Birtley BirtleyGatesheadTyne & Wear, North East, DH31RF",7936,"Bowes Incline Hotel, Northside, Chester-le-Street, Gateshead, North East, DH31RF",0.525
20463,"Hardwicke Hall Manor Hotel, Hesleden Near The Village of Hesleden Hartlepool, County Durham, North East, TS274PA",8381,"Hardwicke Hall Manor Hotel, Hesleden Road, Hartlepool, County Durham, North East, TS274PA",0.552
20465,"Brunswick House Guest house, 55 Market Place Middleton in Teesdale Middleton-in-TeesdaleBarnard CastleCounty Durham, North East, DL120QH",3362,"The Forresters, 52-53, Market Place, Barnard Castle, , United Kingdom, County Durham, North East, DL120QH",0.5828
20468,"Forresters Hotel and Restaurant, 52 53 Market Place Middleton In Teesdale Middleton in Teesdale Middleton-in-TeesdaleCounty Durham, North East, DL120QH",3362,"The Forresters, 52-53, Market Place, Barnard Castle, , United Kingdom, County Durham, North East, DL120QH",0.5736
20475,"Whitworth Hall Hotel - Sure Hotel Collection by Best Western, Spennymoor SpennymoorDurhamCounty Durham, North East, DL167QX",11235,"Whitworth Hall Hotel, Whitworth Road, Spennymoor, County Durham, North East, DL167QX",0.5548
20476,"The Teesdale Hotel, Market Place Middleton-in-TeesdaleCounty Durham, North East, DL120QG",10086,"The Teesdale Hotel, Barnard Castle, County Durham, North East, DL120QG",0.5
20478,"Honest Lawyer Hotel, Croxdale Bridge CroxdaleDurham, County Durham, North East, DH13SP",5026,"The Honest Lawyer, Durham, County Durham, North East, DH13SP",0.5
20492,"Hallgarth Manor House BW Signature Collection, Pittington Durham, County Durham, North East, DH61AB",7916,"Hallgarth Manor, Durham, County Durham, North East, DH61AB",0.5555
20495,"Premier Inn Bishop Auckland, West Auckland Road  Bishop Auckland County Durham Bishop AucklandCounty Durham, North East, DL149AP",5682,"Premier Inn, West Auckland Road, Bishop Auckland, County Durham, North East, DL149AP",0.5815
20506,"Days Inn Durham, Roadchef Motorway Service Area A1M Motorway A1M MotorwayDurham, County Durham, North East, DH65NP",4320,"Super 8, Tursdale Road, Durham, County Durham, North East, DH65NP",0.5783
20509,"Jersey Farm Hotel, Darlington Rd Barnard CastleCounty Durham, North East, DL128TA",1588,"Runa Farm, Darlington Road, Barnard Castle, , United Kingdom, County Durham, North East, DL128TA",0.5938
20525,"The Brown Horse Hotel, High Stoop Tow Law Tow LawDurham, County Durham, North East, DL134HJ",10329,"Brown Horse, Bishop Auckland, County Durham, North East, DL134HJ",0.5857
20560,"Hayat Express Hotel, Front St Shotton Colliery Shotton CollieryPeterleeDurham, County Durham, North East, DH62LT",9764,"Hayat Express Hotel, Front Street, Durham, County Durham, North East, DH62LT",0.596
20563,"The Norton Hotel, 1 The Green Seaton Carew Seaton CarewDurham, Hartlepool, North East, TS251AR",430,"The Norton Hotel, Seaton Green, Seaton Carew, , United Kingdom, Hartlepool, North East, TS251AS",0.5
20586,"Hotel 52 Stanley, Joicey Square Joicey SquareStanley, County Durham, North East, DH90PG",8736,"Hotel 52, Joicey Square, Stanley, County Durham, North East, DH90PG",0.5783
20604,"Belvedere House B&B, 54 Market Place Middleton in Teesdale Middleton-In-TeesdaleCounty Durham, North East, DL120QH",3362,"The Forresters, 52-53, Market Place, Barnard Castle, , United Kingdom, County Durham, North East, DL120QH",0.5828
20611,"Sea View Guest House, 11 The Green Seaton CarewHartlepool, North East, TS251AS",430,"The Norton Hotel, Seaton Green, Seaton Carew, , United Kingdom, Hartlepool, North East, TS251AS",0.5516
20756,"The Gray at 52 Old Elvet, 52 Old Elvet, County Durham, North East, DH13HN",9725,"The Town House, 34, Old Elvet, Durham, County Durham, North East, DH13HN",0.5256
20785,"Blackgill Lodge, 2 Blackgill Cottageeasington, Redcar and Cleveland, North East, TS134UE",1374,"Grinkle Park Hotel, Ridge Lane, Roxby, , United Kingdom, Redcar and Cleveland, North East, TS134UE",0.5618
20794,"Gothic House, 55 High Street East Grinstead, Mid Sussex, South East, RH193DD",1740,"The Crown, 35, High Street, East Grinstead, West Sussex, , GB, Mid Sussex, South East, RH193AF",0.5162
20794,"Gothic House, 55 High Street East Grinstead, Mid Sussex, South East, RH193DD",9740,"The Dorset Arms, 58, High Street, East Grinstead, Mid Sussex, South East, RH193DE",0.5934
20796,"The Ravenswood, Cinder Hill Sharpthorne SharpthorneHaywards HeathWest Sussex, Mid Sussex, South East, RH194HY",9252,"Ravenswood Hotel, Horsted Lane, East Grinstead, Mid Sussex, South East, RH194HY",0.5997
20825,"Eastbourne Riviera Hotel, 26 Marine Parade Eastbourne, South East, BN227AY",8748,"Queens Hotel, Marine Parade, Eastbourne, South East, BN213DY",0.5
20825,"Eastbourne Riviera Hotel, 26 Marine Parade Eastbourne, South East, BN227AY",10733,"The Royal, 8-9, Marine Parade, Eastbourne, South East, BN213DX",0.5043
20825,"Eastbourne Riviera Hotel, 26 Marine Parade Eastbourne, South East, BN227AY",10734,"OYO Marine Parade Hotel, 13-14, Marine Parade, Eastbourne, South East, BN213DX",0.5423
20828,"Southcroft Guest House, 15 South Cliff Avenue Eastbourne, South East, BN207AH",10732,"The Halcyon, 8, South Cliff, Eastbourne, South East, BN207AF",0.5239
20832,"Sea View Guest House, 57 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5436
20832,"Sea View Guest House, 57 Royal Parade Eastbourne, South East, BN227AQ",10427,"Bay Majestic Eastbourne Hotel, 26-34, Royal Parade, Eastbourne, South East, BN227AN",0.5
20833,"Ebor Lodge, 71 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",8999,"The View Hotel, Grand Parade, Eastbourne, South East, BN214DN",0.5385
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",9002,"Mansion (Lions) Hotel, 32-35, Grand Parade, Eastbourne, BN213YS",0.5
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",9003,"The Cumberland Hotel, 34-36, Grand Parade, Eastbourne, South East, BN213YT",0.5
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",9004,"The Cavendish Hotel, 37-40, Grand Parade, Eastbourne, South East, BN214DH",0.5668
20857,"Shore View Hotel, Marine Parade Eastbourne, South East, BN227AY",8748,"Queens Hotel, Marine Parade, Eastbourne, South East, BN213DY",0.5348
20857,"Shore View Hotel, Marine Parade Eastbourne, South East, BN227AY",10733,"The Royal, 8-9, Marine Parade, Eastbourne, South East, BN213DX",0.5947
20867,"Langham Hotel, 43-49 Royal Parade EastbourneEast Sussex, South East, BN227AH",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5846
20869,"Marine Parade Hotel, 13-14 Marine Parade Eastbourne East Sussex, South East, BN213DX",8748,"Queens Hotel, Marine Parade, Eastbourne, South East, BN213DY",0.5633
20869,"Marine Parade Hotel, 13-14 Marine Parade Eastbourne East Sussex, South East, BN213DX",9373,"Eastbourne Riveira, 26, Marine Parade, Eastbourne, South East, BN227AY",0.5395
20869,"Marine Parade Hotel, 13-14 Marine Parade Eastbourne East Sussex, South East, BN213DX",10431,"Shore View Hotel Eastbourne, 20, Marine Parade, Eastbourne, South East, BN227AY",0.5939
20871,"The New England, 60 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5
20875,"Sea Beach House, 39-40 Marine Parade EastbourneEast Sussex, South East, BN227AY",10431,"Shore View Hotel Eastbourne, 20, Marine Parade, Eastbourne, South East, BN227AY",0.5902
20876,"The Devonshire Park Hotel, Carisle Road Eastbourne, South East, BN214JR",3219,"Ritz Apartments And Hotel, Carlisle Road, Eastbourne, , United Kingdom, South East, BN214JX",0.5856
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",9374,"Glastonbury Hotel, Royal Parade, Eastbourne, South East, BN227AR",0.5
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5136
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",10429,"Best Western York House Hotel, 14-22, Royal Parade, Eastbourne, South East, BN227AP",0.5534
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",10430,"Atlanta Hotel, 10, Royal Parade, Eastbourne, South East, BN227AR",0.5
20893,"Haddon Hall Hotel, Devonshire Place East Sussex Eastbourne, South East, BN214AJ",9306,"Imperial Hotel, Devonshire Place, Eastbourne, South East, BN214AH",0.5182
20894,"Breakers Bed & Breakfast, 56 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5459
20894,"Breakers Bed & Breakfast, 56 Royal Parade Eastbourne, South East, BN227AQ",10427,"Bay Majestic Eastbourne Hotel, 26-34, Royal Parade, Eastbourne, South East, BN227AN",0.5
20939,"Skylight Apartment, Flat 3 5 South Cliff Avenue, Eastbourne, South East, BN207AH",10732,"The Halcyon, 8, South Cliff, Eastbourne, South East, BN207AF",0.5039
20945,"Seabreeze Apartment, 79 Royal Parade, Eastbourne, South East, BN227AL",10427,"Bay Majestic Eastbourne Hotel, 26-34, Royal Parade, Eastbourne, South East, BN227AN",0.5363
20945,"Seabreeze Apartment, 79 Royal Parade, Eastbourne, South East, BN227AL",10428,"The East Beach Hotel, 23-25, Royal Parade, Eastbourne, South East, BN227AN",0.5
20945,"Seabreeze Apartment, 79 Royal Parade, Eastbourne, South East, BN227AL",10429,"Best Western York House Hotel, 14-22, Royal Parade, Eastbourne, South East, BN227AP",0.5
20947,"Sea Beach Cottage, 38 Marine Parade, Eastbourne, South East, BN227AY",10734,"OYO Marine Parade Hotel, 13-14, Marine Parade, Eastbourne, South East, BN213DX",0.5
20985,"Best Western Plus Hever Hotel, Hever Road Na 07 Edenbridge HeverEdenbridgeKent, Sevenoaks, South East, TN87NP",8640,"Hever Hotel, Hever Road, Sevenoaks, South East, TN87NP",0.5
20999,"Woodlands Hall Hotel, Edern PwllheliGwynedd, LL536JB",4201,"Woodlands Hall Hotel, Edern, Pwllheli, Gwynedd, LL536JB",0.5
21030,"Royal Mile Backpackers, 105 High Street Edinburgh, City of Edinburgh, EH11SG",126,"The Inn On The Mile, 82, High Street, Edinburgh, , United Kingdom, City of Edinburgh, EH11LL",0.558
21030,"Royal Mile Backpackers, 105 High Street Edinburgh, City of Edinburgh, EH11SG",987,"Radisson Blu Hotel, 80, High Street, Edinburgh, , United Kingdom, City of Edinburgh, EH11TH",0.5855
21042,"Holiday Inn Edinburgh City West, Queensferry Road 107  Edinburgh  EdinburghScotland, City of Edinburgh, EH43HJ",2165,"Holiday Inn Express, 107, Queensferry Road, Edinburgh, , United Kingdom, City of Edinburgh, EH43HL",0.5584
21045,"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB",1649,"24 Royal Terrace, 24, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0.5174
21045,"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB",1650,"voco, 18, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AQ",0.5821
21045,"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB",2947,"21212, 3, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0.5648
21049,"Averon Guest House, 44 Gilmore Place Edinburgh, City of Edinburgh, EH39NQ",2638,"Fountain Court EQ2, 1, Lower Gilmore Place, Edinburgh, , GB, City of Edinburgh, EH39QP",0.5265
21051,"Rabble, 55a Frederick Street Edinburgh, City of Edinburgh, EH21LH",1524,"Frederick House Hotel, 42, Frederick Street, Edinburgh, , United Kingdom, City of Edinburgh, EH21LN",0.5703
21057,"No.32 Hotel, 32 Coates Gardens  Edinburgh, City of Edinburgh, EH125LE",2256,"Piries Hotel, 4-8, Coates Gardens, Edinburgh, , United Kingdom, City of Edinburgh, EH125LB",0.5232
21057,"No.32 Hotel, 32 Coates Gardens  Edinburgh, City of Edinburgh, EH125LE",2265,"The Lairg, 11, Coates Gardens, Edinburgh, , United Kingdom, City of Edinburgh, EH125LG",0.5586
21064,"Borthwick Castle, North Middleton GorebridgeMidlothian, EH234QY",4045,"Borthwick Castle Hotel, Midlothian, EH234QY",0.5
21066,"Bankton House Hotel LivingstonWest LothianScotland, EH549AQ",6618,"Bankton House Hotel, Livingston, West Lothian, EH549AQ",0.5
21074,"Apex City of Edinburgh Hotel, 61 Grassmarket Edinburgh, EH12JF",629,"Apex Edinburgh City, Grassmarket, City of Edinburgh, , United Kingdom, EH12LJ",0.5
21081,"Leonardo Portland Edinburgh, 79 Lauriston Place  Edinburgh, City of Edinburgh, EH39HZ",748,"Premier Inn, 82, Lauriston Place, Edinburgh, , United Kingdom, City of Edinburgh, EH39DG",0.5606
21081,"Leonardo Portland Edinburgh, 79 Lauriston Place  Edinburgh, City of Edinburgh, EH39HZ",749,"Novotel, 80, Lauriston Place, Edinburgh, , GB, City of Edinburgh, EH39DG",0.5158
21083,"Old Waverley Hotel, 43 Princes Street Edinburgh, City of Edinburgh, EH22BY",1264,"Mount Royal Hotel, 53, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22DG",0.55
21083,"Old Waverley Hotel, 43 Princes Street Edinburgh, City of Edinburgh, EH22BY",1266,"Hotel Indigo, 20, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22AN",0.5
21086,"Dunmuir Hotel, Newhouse Terrace Queens Road 11  Dunbar Queens RoadDunbar, East Lothian, EH421LG",2187,"Dunmuir Hotel, 11, Newhouse Terrace, Dunbar, , United Kingdom, East Lothian, EH421LG",0.5839
21093,"Stay Central Hotel, 139 Cowgate Edinburgh, City of Edinburgh, EH11JS",3112,"House of Gods, 233, Cowgate, Edinburgh, , United Kingdom, City of Edinburgh, EH11JQ",0.5
21119,"Cruachan Guest House, 53 Gilmore Place Edinburgh, City of Edinburgh, EH39NT",2638,"Fountain Court EQ2, 1, Lower Gilmore Place, Edinburgh, , GB, City of Edinburgh, EH39QP",0.5101
21135,"Travelodge Edinburgh Central, 33 St. Marys Street Edinburgh Scotland, City of Edinburgh, EH11TA",2089,"Premier Inn, 33, East Market Street, Edinburgh, , GB, City of Edinburgh, EH88FR",0.5
21150,"Budget Backpackers Hostel, 37-39 Cowgate Edinburgh, City of Edinburgh, EH11JR",3737,"Stay Central, 139, Cowgate, Edinburgh, , United Kingdom, City of Edinburgh, EH11JS",0.5
21158,"Novotel Edinburgh Centre, 80 Lauriston Place EdinburghScotland, City of Edinburgh, EH39DE",4806,"Leonardo Boutique Hotel Edinburgh City, 79, Lauriston Place, Edinburgh, City of Edinburgh, EH39HZ",0.533
21166,"Motel One Edinburgh Royal, 18-21 Market Street Edinburgh, City of Edinburgh, EH11BL",9131,"Market Street Hotel, 6, Market Street, Edinburgh, , GB, City of Edinburgh, EH11DE",0.5254
21173,"Ballantrae Albany Hotel, 39-47 Albany Street EdinburghMidlothian, City of Edinburgh, EH13QY",1778,"Albany Hotel, 39-47, Albany Street, Edinburgh, , United Kingdom, City of Edinburgh, EH13QN",0.5696
21177,"Apartments Royal 12b York Place, Edinburgh Schottland, nan",1647,"Ballantrae Hotel, 8-10-12, York Place, Edinburgh, , GB, City of Edinburgh, EH13EP",0.5474
21180,"Ocean Hostel, CONSTITUTION STREET, 55 EDINBURGH, City of Edinburgh, EH67BG",2861,"Rooms at GPO, 57, Constitution Street, Edinburgh, , United Kingdom, City of Edinburgh, EH67AF",0.578
21189,"Grassmarket hotel, 94-96 Grassmarket Edinburgh, City of Edinburgh, EH12JR",628,"Apex Edinburgh International, 31-33-35, Grassmarket, Edinburgh, , GB, City of Edinburgh, EH12HS",0.5
21189,"Grassmarket hotel, 94-96 Grassmarket Edinburgh, City of Edinburgh, EH12JR",629,"Apex Edinburgh City, Grassmarket, City of Edinburgh, , United Kingdom, EH12LJ",0.5585
21195,"St Christopher's Edinburgh, 9-13 Market Street Edinburgh, City of Edinburgh, EH11DE",1521,"Motel One Edinburgh-Royal, 18-21, Market Street, Edinburgh, , GB, City of Edinburgh, EH11BL",0.55
21196,"Apex Grassmarket Hotel, 31-35 Grassmarket Edinburgh, City of Edinburgh, EH12HS",629,"Apex Edinburgh City, Grassmarket, City of Edinburgh, , United Kingdom, EH12LJ",0.5427
