indexA,addressA,indexB,addressB,score
15,"Apartment Wrinckle, 12 Market St Aberaeron  Uk Dyfed, Ceredigion, SA460AU",890,"Y Seler, Market Street, Aberaeron, , United Kingdom, Ceredigion, SA460AS",0.5127
28,"Shell Woodbank, North Deeside Road ABERDEEN, Aberdeen City, AB159PN",5240,"Marcliffe, North Deeside Road, Aberdeen, Aberdeen City, AB159YA",0.5
33,"Courtyard by Marriott Aberdeen Airport, Argyll Way Aberdeen Airport Dyce Aberdeen AirportDyceAberdeen, Aberdeen City, AB210AF",11102,"Leonardo Inn Hotel Aberdeen Airport, Argyll Road, Aberdeen, Aberdeen City, AB210AF",0.5869
34,"Jurys Inn Aberdeen Airport, Argyle Road Aberdeen Airport Aberdeenshire DyceAberdeen, Aberdeen City, AB210AF",11102,"Leonardo Inn Hotel Aberdeen Airport, Argyll Road, Aberdeen, Aberdeen City, AB210AF",0.5
39,"Aberdeen Douglas Hotel, 43-45 Market Street Aberdeen, Aberdeen City, AB115EL",7430,"Rox Hotel, 17, Market Street, Aberdeen, , GB, Aberdeen City, AB115PY",0.5788
41,"Rox Hotel, 17-23 Market Street Aberdeen, Aberdeen City, AB115PY",7429,"Aberdeen Douglas Hotel, 43-45, Market Street, Aberdeen, , GB, Aberdeen City, AB115EL",0.5861
49,"Aberdeen Airport Dyce Hotel, Sure Hotel Collection by BW, Farburn Terrace Dyce DyceAberdeen, Aberdeen City, AB217DW",779,"Menzies, Farburn Terrace, Aberdeen City, , United Kingdom, AB217DW",0.5356
62,"Aberdeen Youth Hostel, 8 Queens Road Aberdeen, Aberdeen City, AB154ZT",10137,"The Dutch Mill Hotel, 7, Queen's Road, Aberdeen, Aberdeen City, AB154NR",0.5217
71,"Travelodge Aberdeen Central, 9 Bridge Street Aberdeen, Aberdeen City, AB116JL",1696,"Siberia Hotel, 9, Belmont Street, Aberdeen, , United Kingdom, Aberdeen City, AB101JR",0.5
74,"Butlers Guest House, 122 Crown Street Aberdeen, Aberdeen City, AB116HJ",1754,"The Brentwood Hotel Oyo, 101, Crown Street, Aberdeen, , United Kingdom, Aberdeen City, AB116HH",0.5709
74,"Butlers Guest House, 122 Crown Street Aberdeen, Aberdeen City, AB116HJ",1755,"The Highland Hotel, 91-95, Crown Street, Aberdeen City, , United Kingdom, AB116HH",0.5499
83,"Leonardo Inn Aberdeen Airport, Aberdeen Airport Argyll Road Dyce Aberdeen AirportDyce Aberdeen, Aberdeen City, AB210AF",8122,"Courtyard by Marriott, Argyll Way, Aberdeen, Aberdeen City, AB210AF",0.5021
103,"Hilton Garden Inn Aberdeen City Centre, 31 St Andrew Street Aberdeen, Aberdeen City, AB251JA",11130,"Sandman Signature Aberdeen Hotel, St Andrew Street, Aberdeen, Aberdeen City, AB251AD",0.5523
104,"Micasa, 9 Market Street Aberdeen, Aberdeen City, AB115PD",7429,"Aberdeen Douglas Hotel, 43-45, Market Street, Aberdeen, , GB, Aberdeen City, AB115EL",0.5386
109,"Holiday Inn Express Aberdeen Airport, 3 International Gate Dyce DyceAberdeen, Aberdeen City, AB210BE",8120,"Crowne Plaza, 1-3, International Gate, Aberdeen, Aberdeen City, AB210BE",0.591
128,"Western Guest House, 314 Great Western Road Aberdeen, Aberdeen City, AB106PL",10320,"The Mariner, 349, Great Western Road, Aberdeen, Aberdeen City, AB106NW",0.5266
131,"Crowne Plaza Aberdeen Airport, 2 International Gate Dyce Dyce Aberdeen Flughafen, Aberdeen City, AB210BE",8121,"Holiday Inn Express, 1-3, International Gate, Aberdeen, Aberdeen City, AB210BE",0.5609
165,"Hampton By Hilton Aberdeen Airport, Dyce Drive D2 Bussiness Park 1 D2 Business ParkDyceAberdeen, Aberdeen City, AB210BX",8579,"Hampton by Hilton Aberdeen Airport, Harvest Way, Aberdeen, Aberdeen City, AB210BX",0.5995
167,"Royal Crown Guest House, 111 Crown Street Aberdeen, Aberdeen City, AB116HN",1755,"The Highland Hotel, 91-95, Crown Street, Aberdeen City, , United Kingdom, AB116HH",0.5951
189,"Seashells Guest House, 296 Great Western Road Aberdeen, Aberdeen City, AB106PL",10320,"The Mariner, 349, Great Western Road, Aberdeen, Aberdeen City, AB106NW",0.5
191,"Belhaven Private Hotel, 152 Bon Accord Street Aberdeen, Aberdeen City, AB116TX",10445,"Ferryhill House Hotel, 169, Bon-Accord Street, Aberdeen, Aberdeen City, AB116UA",0.5798
195,"Gales Guest House, 140 Crown Street Aberdeen, Aberdeen City, AB116HQ",1754,"The Brentwood Hotel Oyo, 101, Crown Street, Aberdeen, , United Kingdom, Aberdeen City, AB116HH",0.5
195,"Gales Guest House, 140 Crown Street Aberdeen, Aberdeen City, AB116HQ",1755,"The Highland Hotel, 91-95, Crown Street, Aberdeen City, , United Kingdom, AB116HH",0.5
200,"Hazels Guest House, 84 Bon Accord Street Aberdeen, Aberdeen City, AB116EJ",10442,"Ferndale Private Hotel, 62, Bon-Accord Street, Aberdeen, , GB, Aberdeen City, AB116EL",0.5121
