orig_indexA,orig_indexB,addressA,addressB,score
32,7454,"Mercure Aberdeen Caledonian Hotel, 10-14 Union Terrace Aberdeen, Aberdeen City, AB101WE","Caledonian Hotel, 10-14, Union Terrace, Aberdeen, Aberdeen City, AB101WE",1.0
37,10412,"Copthorne Hotel Aberdeen, 122 Huntly Street Aberdeen, Aberdeen City, AB101SU","Copthorne Hotel Aberdeen, 122, Huntly Street, Aberdeen, Aberdeen City, AB101SU",1.0
39,7429,"Aberdeen Douglas Hotel, 43-45 Market Street Aberdeen, Aberdeen City, AB115EL","Aberdeen Douglas Hotel, 43-45, Market Street, Aberdeen, , GB, Aberdeen City, AB115EL",1.0
40,7433,"ibis Aberdeen Centre, 15 Shiprow Aberdeen, Aberdeen City, AB115BY","Ibis, 15, Shiprow, Aberdeen, , GB, Aberdeen City, AB115BY",1.0
41,7430,"Rox Hotel, 17-23 Market Street Aberdeen, Aberdeen City, AB115PY","Rox Hotel, 17, Market Street, Aberdeen, , GB, Aberdeen City, AB115PY",0.9
42,10320,"The Mariner Hotel, Great Western Road Aberdeen, Aberdeen City, AB106NW","The Mariner, 349, Great Western Road, Aberdeen, Aberdeen City, AB106NW",0.9
44,9885,"The New Inn Hotel, Market Street Ellon, Aberdeenshire, AB419JD","New Inn Hotel, 14, Market Street, Ellon, , GB, Aberdeenshire, AB419JD",0.9
45,3606,"Holiday Inn Express Aberdeen City Centre, Chapel Street Aberdeen, Aberdeen City, AB101SQ","Holiday Inn Express, 29-43, Chapel Street, Aberdeen, , United Kingdom, Aberdeen City, AB101SQ",0.9
47,4801,"Palm Court Hotel, 81 Seafield Road Aberdeen, Aberdeen City, AB157YX","Palm Court Hotel, 81, Seafield Road, Aberdeen, Aberdeen City, AB157YX",1.0
59,10101,"Skene House Whitehall, 2 WHITEHALL PLACE ABERDEEN, Aberdeen City, AB252NX","Skene House Apartment Hotel - Whitehall, 2, Whitehall Place, Aberdeen, , GB, Aberdeen City, AB252NX",1.0
60,2147,"Skene House HotelSuites Rosemount, 96 Rosemount Viaduct Aberdeen, Aberdeen City, AB251NX","Skene House Rosemount Apartment Hotel, 96, Rosemount Viaduct, Aberdeen City, , United Kingdom, AB251NX",1.0
66,11333,"Station Hotel Aberdeen, 78 Guild Street Aberdeen, Aberdeen City, AB116GN","Station Hotel, 78-80, Guild Street, Aberdeen, Aberdeen City, AB116GN",0.9
71,1697,"Travelodge Aberdeen Central, 9 Bridge Street Aberdeen, Aberdeen City, AB116JL","Travelodge, 9, Bridge Street, Aberdeen, , United Kingdom, Aberdeen City, AB116JL",1.0
77,5433,"Cove Bay Hotel, 15 Colsea Road Cove Bay Aberdeen, Aberdeen City, AB123NA","Cove Bay Hotel, 15, Colsea Road, Aberdeen, Aberdeen City, AB123NA",1.0
81,9232,"Skene House HotelSuites Holburn, 6 Union Grove Aberdeen, Aberdeen City, AB106SY","Skene House Apartments Holburn, 6, Union Grove, Aberdeen, Aberdeen City, AB106SY",1.0
82,1696,"Aberdeen City Centre Hotel, Belmont Street Aberdeen, Aberdeen City, AB101JR","Siberia Hotel, 9, Belmont Street, Aberdeen, , United Kingdom, Aberdeen City, AB101JR",0.9
94,6896,"Premier Inn Aberdeen North Bridge Of Don, Ellon Road Murcar MurcarBridge Of DonAberdeen, Aberdeen City, AB238BP","Premier Inn, Aberdeen, Aberdeen City, AB238BP",0.9
98,10771,"Malmaison Aberdeen, 49-53 Queens Road Aberdeen, Aberdeen City, AB154YP","Malmaison Aberdeen, 49-53, Queens Road, Aberdeen, Aberdeen City, AB154YP",0.9818
105,11335,"Park Inn by Radisson Aberdeen, 1 Justice Mill Lane Aberdeen, Aberdeen City, AB116EQ","Park Inn, 1, Justice Mill Lane, Aberdeen, Aberdeen City, AB116EQ",0.9677
111,9951,"Cults Hotel, 328 North Deeside Road CultsAberdeen, Aberdeen City, AB159SE","Cults Hotel, 328, North Deeside Road, Aberdeen, , GB, Aberdeen City, AB159SE",0.916
113,10421,"Inn At The Park Hotel, 3 4 Deemount Terrace Aberdeen Aberdeenshire Scotland AberdeenScotland, Aberdeen City, AB117RX","Inn At The Park, 4, Deemount Terrace, Aberdeen, , GB, Aberdeen City, AB117RX",1.0
115,10445,"Ferryhill House Hotel, 169 Bon Accord Street Aberdeen, Aberdeen City, AB116UA","Ferryhill House Hotel, 169, Bon-Accord Street, Aberdeen, Aberdeen City, AB116UA",1.0
169,1787,"The Royal Hotel, 53-57 Victoria Street Stromness Orkney Islands, KW163BS","Royal Hotel, Victoria Street, Stromness, , United Kingdom, Orkney Islands, KW163BS",0.9
170,10589,"Residence Inn by Marriott Aberdeen, Guestrow  Aberdeen, Aberdeen City, AB101AS","Residence Inn, Guestrow, Aberdeen, Aberdeen City, AB101AS",0.9
198,10137,"The Dutch Mill Hotel 7 Queens Road Aberdeen, Aberdeen City, AB154NR","The Dutch Mill Hotel, 7, Queen's Road, Aberdeen, Aberdeen City, AB154NR",0.9609
201,11130,"Sandman Signature Aberdeen Hotel, St. Andrew Street Aberdeen, Aberdeen City, AB251AD","Sandman Signature Aberdeen Hotel, St Andrew Street, Aberdeen, Aberdeen City, AB251AD",0.9
209,9760,"Aloft Aberdeen TECA, Gough Burn Crescent, Aberdeen, , United Kingdom, Aberdeen City, AB219FY","Aloft, Gough Burn Crescent, Aberdeen, Aberdeen City, AB219FY",0.9
324,1572,"Schiehallion Hotel, 6 Dunkeld Street Aberfeldy, Perth and Kinross, PH152AF","Schiehallion Hotel, 6, Dunkeld Street, Aberfeldy, , United Kingdom, Perth and Kinross, PH152AF",1.0
419,3766,"Kings Arms Hotel, 29 Nevill Street Abergavenny Monmouthshire, NP75AA","Kings Arms Hotel, 29, Nevill Street, Abergavenny, , United Kingdom, Monmouthshire, NP75AA",1.0
419,3766,"Kings Arms Hotel, 29 Nevill Street Abergavenny Monmouthshire, NP75AA","Kings Arms Hotel, 29, Nevill Street, Abergavenny, , United Kingdom, Monmouthshire, NP75AA",1.0
