orig_indexA,orig_indexB,addressA,addressB,score
20,1161,"The Falcon Inn Retreat, 1 Incline Row Aberdare, Rhondda Cynon Taf, CF446LU","The Falcon, Incline Row, Godreaman, , United Kingdom, Rhondda Cynon Taf, CF446LU",0.8
30,10320,"Cedars Guest House, 339 Great Western Road AberdeenScotland, Aberdeen City, AB106NW","The Mariner, 349, Great Western Road, Aberdeen, Aberdeen City, AB106NW",0.8038
35,4011,"The Aberdeen Altens Hotel, Souterhead Road Aberdeen, Aberdeen City, AB123LF","Aberdeen Altens Hotel, Souterhead Road, Aberdeen City, AB123LF",0.8282
51,5240,"The Marcliffe Hotel and Spa, North Deeside Road PitfodelsAberdeen, Aberdeen City, AB159YA","Marcliffe, North Deeside Road, Aberdeen, Aberdeen City, AB159YA",0.8
52,11335,"Travelodge Aberdeen Central Justice Mill Lane, 21-23 Justice Mill Lane Aberdeen City, AB116EQ","Park Inn, 1, Justice Mill Lane, Aberdeen, Aberdeen City, AB116EQ",0.8428
58,1640,"Royal Hotel Keith, CHURCH ROAD KEITH, BANFFSHIRE, Moray, AB555BR","Ugie House Hotel, Church Road, Keith, , United Kingdom, Moray, AB555BR",0.8357
80,10770,"The Chester Hotel, 59 63 Queens Road AberdeenScotland, Aberdeen City, AB154YP","The Chester Hotel, 55-63, Queen's Road, Aberdeen, Aberdeen City, AB154YP",0.85
84,5272,"Travelodge Aberdeen Bucksburn, A96 Inverurie Road Bucksburn Bucksburn Aberdeen, Aberdeen City, AB219BB","Travelodge, Inverurie Road, Aberdeen, Aberdeen City, AB219BB",0.8625
98,10770,"Malmaison Aberdeen, 49-53 Queens Road Aberdeen, Aberdeen City, AB154YP","The Chester Hotel, 55-63, Queen's Road, Aberdeen, Aberdeen City, AB154YP",0.8235
112,5213,"Newmachar Hotel, Oldmeldrum Road Newmachar, Aberdeenshire, AB210QD","Newmachar Hotel, Oldmeldrum Road, , GB, Aberdeenshire, AB210QD",0.8
137,10442,"The Lost Guest House, 46 Bon Accord St Aberdeen, Aberdeen City, AB116EL","Ferndale Private Hotel, 62, Bon-Accord Street, Aberdeen, , GB, Aberdeen City, AB116EL",0.8374
171,10416,"The Dunavon, 60 Victoria Street Dyce DyceAberdeen, Aberdeen City, AB217EE","Dunavon, 60, Victoria Street, Aberdeen, , GB, Aberdeen City, AB217EE",0.8875
236,9503,"Hilton Aberdeen TECA, East Burn Road Stoneywood, Aberdeen City, AB219FX","Hilton Aberdeen TECA, East Burn Road, Aberdeen, Aberdeen City, AB219FX",0.8992
317,7795,"Ailean Chraggan Hotel Weem AberfeldyPerthshire, Perth and Kinross, PH152LD","Ailean Chraggan Hotel & Restaurant, Weem, Perth and Kinross, PH152LD",0.8
323,1571,"Breadalbane Arms Hotel, Bridgend AberfeldyPerthshire, Perth and Kinross, PH152DF","Breadalbane Arms Hotel, Bridge End, Aberfeldy, , United Kingdom, Perth and Kinross, PH152DF",0.8
371,7796,"Larch Cottage, Wade House Weem, Perth and Kinross, PH152LD","The Weem Inn, Weem, Perth and Kinross, PH152LD",0.8
387,7796,"Bugaboo Cottage, Wade House Weem, Perth and Kinross, PH152LD","The Weem Inn, Weem, Perth and Kinross, PH152LD",0.8
402,7796,"Little Tigh Craggan Uk10204, Weem, Perth and Kinross, PH152LD","The Weem Inn, Weem, Perth and Kinross, PH152LD",0.8
499,11253,"Ducks Inn, Main Street Aberlady, East Lothian, EH320RE","The Leddie Hotel & Restaurant, West Main Street, Aberlady, East Lothian, EH320RE",0.8444
402,7796,"Little Tigh Craggan Uk10204, Weem, Perth and Kinross, PH152LD","The Weem Inn, Weem, Perth and Kinross, PH152LD",0.8
499,11253,"Ducks Inn, Main Street Aberlady, East Lothian, EH320RE","The Leddie Hotel & Restaurant, West Main Street, Aberlady, East Lothian, EH320RE",0.8444
715,4895,"Premier Inn Abingdon, Marcham Road AbingdonOxon, Vale of White Horse, South East, OX141AD","Premier Inn, Marcham Road, Vale of White Horse, South East, OX141AD",0.8
733,5230,"Travelodge Cambridge Fourwentways, A11 Fourwentways Abington Cambridge, South Cambridgeshire, East of England, CB216AP","Travelodge, Fourwentways Services, Cambridge, South Cambridgeshire, East of England, CB216AP",0.8023
811,5455,"Best Western White Lion, Market Cross Place AldeburghSuffolk, East Suffolk, East of England, IP155BJ","White Lion Hotel, Market Cross Place, East Suffolk, East of England, IP155BJ",0.819
813,5454,"The Wentworth Hotel, Wentworth Road AldeburghSuffolk, East Suffolk, East of England, IP155BD","Wentworth Hotel, Wentworth Road, East Suffolk, East of England, IP155BD",0.8073
881,9698,"De Trafford By Good Night Inns, Congleton Road Alderley EdgeWilmslowCheshire, Cheshire East, North West, SK97AA","De Trafford Arms Hotel, 2, Congleton Road, Alderley Edge, Cheshire East, North West, SK97AA",0.8
897,2891,"Lomond Park Hotel, Balloch Road Balloch West Dunbartonshire, G838SR","Lomond Park Hotel, Balloch Road, Alexandria, , United Kingdom, West Dunbartonshire, G838SR",0.8
715,4895,"Premier Inn Abingdon, Marcham Road AbingdonOxon, Vale of White Horse, South East, OX141AD","Premier Inn, Marcham Road, Vale of White Horse, South East, OX141AD",0.8
733,5230,"Travelodge Cambridge Fourwentways, A11 Fourwentways Abington Cambridge, South Cambridgeshire, East of England, CB216AP","Travelodge, Fourwentways Services, Cambridge, South Cambridgeshire, East of England, CB216AP",0.8023
811,5455,"Best Western White Lion, Market Cross Place AldeburghSuffolk, East Suffolk, East of England, IP155BJ","White Lion Hotel, Market Cross Place, East Suffolk, East of England, IP155BJ",0.819
813,5454,"The Wentworth Hotel, Wentworth Road AldeburghSuffolk, East Suffolk, East of England, IP155BD","Wentworth Hotel, Wentworth Road, East Suffolk, East of England, IP155BD",0.8073
881,9698,"De Trafford By Good Night Inns, Congleton Road Alderley EdgeWilmslowCheshire, Cheshire East, North West, SK97AA","De Trafford Arms Hotel, 2, Congleton Road, Alderley Edge, Cheshire East, North West, SK97AA",0.8
897,2891,"Lomond Park Hotel, Balloch Road Balloch West Dunbartonshire, G838SR","Lomond Park Hotel, Balloch Road, Alexandria, , United Kingdom, West Dunbartonshire, G838SR",0.8
901,7358,"The Loch Lomond Arms Hotel, Main Road Luss, Argyll and Bute, G838NY","Loch Lomond Arms Hotel, Main Road, Luss, Argyll and Bute, G838NY",0.8293
